County,Value
Arkansas,0.154
Ashley,0.067
Baxter,0.044
Benton,0.012
Boone,0.042
Bradley,0.156
Calhoun,0.39
Carroll,0.073
Chicot,0.181
Clark,0.12
Clay,0.11
Cleburne,0.072
Cleveland,0.22
Columbia,0.092
Conway,0.086
Craighead,0.024
Crawford,0.031
Crittenden,0.036
Cross,0.09
Dallas,0.18
Desha,0.124
Drew,0.138
Faulkner,0.026
Franklin,0.075
Fulton,0.127
Garland,0.026
Grant,0.114
Greene,0.035
Hempstead,0.075
Hot Spring,0.047
Howard,0.133
Independence,0.044
Izard,0.132
Jackson,0.079
Jefferson,0.032
Johnson,0.069
Lafayette,0.151
Lawrence,0.086
Lee,0.084
Lincoln,0.084
Little River,0.148
Logan,0.073
Lonoke,0.028
Madison,0.072
Marion,0.088
Miller,0.038
Mississippi,0.037
Monroe,0.24
Montgomery,0.195
Nevada,0.144
Newton,0.202
Ouachita,0.069
Perry,0.168
Phillips,0.097
Pike,0.192
Poinsett,0.053
Polk,0.089
Pope,0.038
Prairie,0.208
Pulaski,0.009
Randolph,0.077
Saline,0.022
Scott,0.11
Searcy,0.175
Sebastian,0.019
Sevier,0.07
Sharp,0.066
St. Francis,0.058
Stone,0.121
Union,0.051
Van Buren,0.098
Washington,0.013
White,0.025
Woodruff,0.266
Yell,0.071
