County,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,IsNCA,EducationGap,EducationRatio,PovertyUnemploymentRatio,PopulationDensityProxy,EconomicPressure,HighPoverty,LowBachelorRate,HighUnemployment,LargePopulation,WideEducationGap,VeryHighPoverty,VeryLowEducation,EconomicDistress,VulnerabilityScore,WeightedVulnerabilityScore,VulnerabilityScoreNorm,WeightedVulnerabilityScoreNorm,RiskCategory,BachelorsDegreePct_Scaled,HighSchoolGradPct_Scaled,PovertyRate_Scaled,UnemploymentRate_Scaled,Population_Scaled,EducationGap_Scaled,EducationRatio_Scaled,PovertyUnemploymentRatio_Scaled,PopulationDensityProxy_Scaled,EconomicPressure_Scaled
Arkansas,0.153991381,0.210867745,15.4,2.7,16307,0,0.056876364,0.697210819,5.682656827,9.699411064,9.05,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.379914186,0.22448781,0.245954693,0.095238095,0.029506687,0.095948184,0.891307433,0.583594736,0.281959923,0.234421365
Ashley,0.066685531,0.285207593,18.4,5.6,18262,0,0.218522063,0.225893683,3.279857398,9.812632434,12,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,0.15061293,0.30605924,0.343042071,0.785714286,0.034451448,0.354722548,0.135471795,0.010340639,0.307366706,0.409495549
Baxter,0.043728605,0.080813422,16,3.6,42875,1,0.037084816,0.481521392,4.432132964,10.66606751,9.8,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.090318554,0.08178215,0.265372168,0.30952381,0.096704842,0.064264414,0.545413462,0.285247767,0.498876838,0.278931751
Benton,0.011770419,0.009046197,7.8,2.4,311013,0,-0.002724222,0.617993144,3.236514523,12.64759321,5.1,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.006383145,0.003033601,0,0.023809524,0.774903381,0.000535167,0.764268679,0,0.943529583,0
Boone,0.042331486,0.092507925,14.9,3.1,38530,0,0.050176439,0.412958177,4.790996785,10.55921839,9,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.08664914,0.094614263,0.229773463,0.19047619,0.085715081,0.08522245,0.435460911,0.370864632,0.474899983,0.231454006
Bradley,0.156051616,0.446881572,23.2,4.6,10104,0,0.290829956,0.341558131,5.032537961,9.22078563,13.9,1,1,0,0,0,0,1,0,2,3.5,0.5,0.571428571,High Risk,0.385325213,0.48346043,0.498381877,0.547619048,0.013817507,0.47047836,0.32095903,0.428490944,0.174556767,0.522255193
Calhoun,0.390087427,0.917628172,14.3,2.9,4641,0,0.527540745,0.420521324,4.914089347,8.442900587,8.6,0,1,0,0,0,0,1,0,1,1.5,0,0,Low Risk,1,1,0.210355987,0.142857143,0,0.849422462,0.447589679,0.400231759,0,0.207715134
Carroll,0.073290169,0.120751353,14.8,2.9,28814,0,0.047461185,0.560530861,5.085910653,10.26865136,8.85,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.16795944,0.125605137,0.226537217,0.142857143,0.061140507,0.08087567,0.672118324,0.441224472,0.40969698,0.222551929
Chicot,0.180625236,0.419104644,29.7,5.8,9538,0,0.238479408,0.420935168,5.111876076,9.163143937,17.75,1,1,0,0,0,0,1,1,2,3.5,0.5,0.571428571,High Risk,0.449865697,0.452981437,0.708737864,0.833333333,0.012385929,0.386671741,0.448253348,0.44741924,0.161622018,0.75074184
Clark,0.119821518,0.153736135,18.9,4.7,21274,0,0.033914617,0.731796425,4.012738854,9.965287953,11.8,0,1,0,1,0,0,1,0,2,2,0.5,0.142857143,Low Risk,0.290169999,0.16179859,0.359223301,0.571428571,0.042069667,0.059189324,0.946771221,0.18518973,0.341622479,0.397626113
