county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,IsNCA
Arkansas,0.15399138143128716,0.21086774514012385,15.4,2.7,16307.0,0
Ashley,0.06668553055525135,0.28520759319899247,18.4,5.6,18262.0,0
Baxter,0.04372860522448979,0.0808134216909621,16.0,3.6,42875.0,1
Benton,0.01177041891818027,0.009046196589853159,7.8,2.4,311013.0,0
Boone,0.04233148575136257,0.09250792491565014,14.9,3.1,38530.0,0
Bradley,0.15605161599366588,0.4468815718527316,23.2,4.6,10104.0,0
Calhoun,0.39008742663219137,0.9176281717302306,14.3,2.9,4641.0,0
Carroll,0.07329016877212467,0.12075135347400569,14.8,2.9,28814.0,0
Chicot,0.18062523558397986,0.41910464405535747,29.7,5.8,9538.0,0
Clark,0.11982151809720785,0.15373613481244713,18.9,4.7,21274.0,0
Clay,0.1100017455108795,0.313614702063235,17.5,4.1,14201.0,0
Cleburne,0.07180112513263902,0.15501226225191592,13.5,3.9,25445.0,1
Cleveland,0.22022101111412307,0.606679875847113,15.7,3.5,7378.0,0
Columbia,0.09201778559819412,0.18326635255079007,23.3,4.3,22150.0,0
Conway,0.08618685462826778,0.2061909833942212,17.1,3.8,21077.0,0
Craighead,0.024358181677822326,0.02838892739027835,16.1,2.7,113993.0,0
Crawford,0.031188076101533343,0.05865138698679937,13.3,3.4,61891.0,0
Crittenden,0.03647754513248054,0.08011397405545302,20.6,4.2,47139.0,0
Cross,0.09034230164433617,0.2567315643118148,19.1,3.4,16420.0,0
Dallas,0.17999765513338722,0.7822163723524655,19.6,3.9,6185.0,0
Desha,0.12438959910296785,0.3921197687756466,25.0,4.6,10479.0,0
Drew,0.13768964207730894,0.22668482295662437,20.6,4.2,16945.0,0
Faulkner,0.025545737031650393,0.023393629090965054,12.9,2.9,129951.0,0
Franklin,0.07534563579116098,0.23952529070299977,19.0,3.2,17468.0,0
Fulton,0.12657035786168586,0.32874133435311165,17.5,3.8,12421.0,1
Garland,0.026303318377695825,0.030966179357412013,18.9,3.7,99784.0,0
Grant,0.11385844600990044,0.22720382353261162,11.1,2.9,18383.0,0
Greene,0.03527580600303788,0.09112117422929636,16.2,3.3,46743.0,0
Hempstead,0.07545683720208861,0.20417502564235124,16.6,3.4,19343.0,0
Hot Spring,0.04746054525227013,0.12333224872211196,16.9,3.5,33258.0,0
Howard,0.13307711202425598,0.34895986818798375,17.8,3.5,12533.0,0
Independence,0.04402670305323591,0.10283872327766178,13.5,3.4,38320.0,1
Izard,0.1320500272425718,0.2515462390429811,20.3,5.1,14169.0,1
Jackson,0.07897956684938036,0.2558500020853194,24.6,5.1,16784.0,1
Jefferson,0.032423573475126054,0.06455708909693533,24.3,4.6,63661.0,0
Johnson,0.06918507103218645,0.15763854889203566,17.1,4.4,26129.0,0
Lafayette,0.1511112976702215,0.7727116356029532,22.8,4.9,6095.0,0
Lawrence,0.08602362599583283,0.22520917986272826,18.3,3.4,16318.0,0
Lee,0.0837114721741251,0.581946017436898,38.7,5.2,8201.0,0
Lincoln,0.08432657140641961,0.3732993343929291,26.2,4.0,12898.0,0
Little River,0.14774394739517152,0.3688089589157137,17.7,3.5,11805.0,0
Logan,0.07265878939252336,0.2043662863084112,16.6,4.0,21400.0,0
Lonoke,0.02764433183661645,0.04874559557042031,9.6,2.7,75944.0,0
Madison,0.07222793558368495,0.2908867248945148,14.8,2.6,17775.0,0
Marion,0.08815218573712459,0.20639014228617103,17.4,4.1,17514.0,1
Miller,0.0378338904632795,0.09531559884474831,21.5,3.6,42415.0,0
Mississippi,0.0366714164963919,0.10983468323720352,24.9,4.9,38663.0,0
Monroe,0.24014447097665848,0.6243756243857493,26.3,3.9,6512.0,0
Montgomery,0.19542909883990717,0.42866017656612526,18.8,4.9,8620.0,0
Nevada,0.14372211268472906,0.6008199631773399,23.2,3.7,8120.0,0
Newton,0.20156862593692548,0.5441000091924764,18.8,3.4,7071.0,0
Ouachita,0.06926454150415272,0.19393485628412793,18.8,3.9,21793.0,0
Perry,0.16822274518853103,0.43412321327572667,14.1,3.6,10184.0,0
Phillips,0.09713393884098656,0.22457417913241096,34.2,6.5,14961.0,0
Pike,0.19161447531347964,0.3611249015478057,18.2,3.5,10208.0,0
Poinsett,0.05324348519891057,0.20526042456579008,19.1,3.3,22397.0,0
Polk,0.08850545137888455,0.184342040954929,18.8,3.6,19436.0,0
Pope,0.0381405795984085,0.054189168547675456,13.5,3.9,64593.0,0
Prairie,0.20788951406172226,0.5464704178695868,15.4,3.1,8036.0,0
Pulaski,0.009340053121304771,0.006281534122982233,15.7,3.2,400009.0,0
Randolph,0.07658085476278627,0.21450918342412864,18.5,3.5,18907.0,0
Saline,0.021994847716362852,0.025271750474632256,9.3,2.7,129574.0,0
Scott,0.10991803349913716,0.43805569221398843,19.5,3.0,9851.0,0
Searcy,0.17536011068408913,0.4674038574173712,20.2,4.3,7806.0,1
Sebastian,0.01888723926009698,0.023431827177802907,12.8,3.4,129098.0,0
Sevier,0.06991658316274309,0.21008300307062436,18.7,3.8,15632.0,0
