county,HighPoverty,LowBachelorRate,HighUnemployment,LargePopulation,WideEducationGap,VeryHighPoverty,VeryLowEducation,EconomicDistress,IsNCA
Arkansas,0,1,0,0,0,0,1,0,0
Ashley,0,1,0,0,0,0,1,0,0
Baxter,0,1,0,1,0,0,1,0,1
Benton,0,1,0,1,0,0,1,0,0
Boone,0,1,0,1,0,0,1,0,0
Bradley,1,1,0,0,0,0,1,0,0
Calhoun,0,1,0,0,0,0,1,0,0
Carroll,0,1,0,1,0,0,1,0,0
Chicot,1,1,0,0,0,0,1,1,0
Clark,0,1,0,1,0,0,1,0,0
Clay,0,1,0,0,0,0,1,0,0
Cleburne,0,1,0,1,0,0,1,0,1
Cleveland,0,1,0,0,0,0,1,0,0
Columbia,1,1,0,1,0,0,1,0,0
Conway,0,1,0,1,0,0,1,0,0
Craighead,0,1,0,1,0,0,1,0,0
Crawford,0,1,0,1,0,0,1,0,0
Crittenden,1,1,0,1,0,0,1,0,0
Cross,0,1,0,0,0,0,1,0,0
Dallas,0,1,0,0,0,0,1,0,0
Desha,1,1,0,0,0,0,1,0,0
Drew,1,1,0,0,0,0,1,0,0
Faulkner,0,1,0,1,0,0,1,0,0
Franklin,0,1,0,0,0,0,1,0,0
Fulton,0,1,0,0,0,0,1,0,1
Garland,0,1,0,1,0,0,1,0,0
Grant,0,1,0,0,0,0,1,0,0
Greene,0,1,0,1,0,0,1,0,0
Hempstead,0,1,0,0,0,0,1,0,0
Hot Spring,0,1,0,1,0,0,1,0,0
Howard,0,1,0,0,0,0,1,0,0
Independence,0,1,0,1,0,0,1,0,1
Izard,1,1,0,0,0,0,1,0,1
Jackson,1,1,0,0,0,0,1,0,1
Jefferson,1,1,0,1,0,0,1,0,0
Johnson,0,1,0,1,0,0,1,0,0
Lafayette,1,1,0,0,0,0,1,0,0
Lawrence,0,1,0,0,0,0,1,0,0
Lee,1,1,0,0,0,1,1,1,0
Lincoln,1,1,0,0,0,0,1,1,0
Little River,0,1,0,0,0,0,1,0,0
Logan,0,1,0,1,0,0,1,0,0
Lonoke,0,1,0,1,0,0,1,0,0
Madison,0,1,0,0,0,0,1,0,0
Marion,0,1,0,0,0,0,1,0,1
Miller,1,1,0,1,0,0,1,0,0
Mississippi,1,1,0,1,0,0,1,0,0
Monroe,1,1,0,0,0,0,1,1,0
Montgomery,0,1,0,0,0,0,1,0,0
Nevada,1,1,0,0,0,0,1,0,0
Newton,0,1,0,0,0,0,1,0,0
Ouachita,0,1,0,1,0,0,1,0,0
Perry,0,1,0,0,0,0,1,0,0
Phillips,1,1,1,0,0,1,1,1,0
Pike,0,1,0,0,0,0,1,0,0
Poinsett,0,1,0,1,0,0,1,0,0
Polk,0,1,0,0,0,0,1,0,0
Pope,0,1,0,1,0,0,1,0,0
Prairie,0,1,0,0,0,0,1,0,0
Pulaski,0,1,0,1,0,0,1,0,0
Randolph,0,1,0,0,0,0,1,0,0
Saline,0,1,0,1,0,0,1,0,0
Scott,0,1,0,0,0,0,1,0,0
Searcy,1,1,0,0,0,0,1,0,1
Sebastian,0,1,0,1,0,0,1,0,0
Sevier,0,1,0,0,0,0,1,0,0
Sharp,0,1,0,0,0,0,1,0,1
St. Francis,1,1,0,1,0,1,1,1,0
Stone,0,1,0,0,0,0,1,0,1
Union,0,1,0,1,0,0,1,0,0
Van Buren,0,1,0,0,0,0,1,0,1
Washington,0,1,0,1,0,0,1,0,0
White,0,1,0,1,0,0,1,0,1
Woodruff,1,1,0,0,0,0,1,0,1
Yell,0,1,0,1,0,0,1,0,0
