County,Value
Arkansas,0.211
Ashley,0.285
Baxter,0.081
Benton,0.009
Boone,0.093
Bradley,0.447
Calhoun,0.918
Carroll,0.121
Chicot,0.419
Clark,0.154
Clay,0.314
Cleburne,0.155
Cleveland,0.607
Columbia,0.183
Conway,0.206
Craighead,0.028
Crawford,0.059
Crittenden,0.08
Cross,0.257
Dallas,0.782
Desha,0.392
Drew,0.227
Faulkner,0.023
Franklin,0.24
Fulton,0.329
Garland,0.031
Grant,0.227
Greene,0.091
Hempstead,0.204
Hot Spring,0.123
Howard,0.349
Independence,0.103
Izard,0.252
Jackson,0.256
Jefferson,0.065
Johnson,0.158
Lafayette,0.773
Lawrence,0.225
Lee,0.582
Lincoln,0.373
Little River,0.369
Logan,0.204
Lonoke,0.049
Madison,0.291
Marion,0.206
Miller,0.095
Mississippi,0.11
Monroe,0.624
Montgomery,0.429
Nevada,0.601
Newton,0.544
Ouachita,0.194
Perry,0.434
Phillips,0.225
Pike,0.361
Poinsett,0.205
Polk,0.184
Pope,0.054
Prairie,0.546
Pulaski,0.006
Randolph,0.215
Saline,0.025
Scott,0.438
Searcy,0.467
Sebastian,0.023
Sevier,0.21
Sharp,0.226
St. Francis,0.2
Stone,0.295
Union,0.107
Van Buren,0.273
Washington,0.011
White,0.052
Woodruff,0.774
Yell,0.198
