County,Value
Arkansas,15.4
Ashley,18.4
Baxter,16.0
Benton,7.8
Boone,14.9
Bradley,23.2
Calhoun,14.3
Carroll,14.8
Chicot,29.7
Clark,18.9
Clay,17.5
Cleburne,13.5
Cleveland,15.7
Columbia,23.3
Conway,17.1
Craighead,16.1
Crawford,13.3
Crittenden,20.6
Cross,19.1
Dallas,19.6
Desha,25.0
Drew,20.6
Faulkner,12.9
Franklin,19.0
Fulton,17.5
Garland,18.9
Grant,11.1
Greene,16.2
Hempstead,16.6
Hot Spring,16.9
Howard,17.8
Independence,13.5
Izard,20.3
Jackson,24.6
Jefferson,24.3
Johnson,17.1
Lafayette,22.8
Lawrence,18.3
Lee,38.7
Lincoln,26.2
Little River,17.7
Logan,16.6
Lonoke,9.6
Madison,14.8
Marion,17.4
Miller,21.5
Mississippi,24.9
Monroe,26.3
Montgomery,18.8
Nevada,23.2
Newton,18.8
Ouachita,18.8
Perry,14.1
Phillips,34.2
Pike,18.2
Poinsett,19.1
Polk,18.8
Pope,13.5
Prairie,15.4
Pulaski,15.7
Randolph,18.5
Saline,9.3
Scott,19.5
Searcy,20.2
Sebastian,12.8
Sevier,18.7
Sharp,19.7
St. Francis,34.3
Stone,17.7
Union,19.0
Van Buren,16.5
Washington,13.5
White,15.7
Woodruff,24.4
Yell,16.5
