County,Value
Arkansas,2.7
Ashley,5.6
Baxter,3.6
Benton,2.4
Boone,3.1
Bradley,4.6
Calhoun,2.9
Carroll,2.9
Chicot,5.8
Clark,4.7
Clay,4.1
Cleburne,3.9
Cleveland,3.5
Columbia,4.3
Conway,3.8
Craighead,2.7
Crawford,3.4
Crittenden,4.2
Cross,3.4
Dallas,3.9
Desha,4.6
Drew,4.2
Faulkner,2.9
Franklin,3.2
Fulton,3.8
Garland,3.7
Grant,2.9
Greene,3.3
Hempstead,3.4
Hot Spring,3.5
Howard,3.5
Independence,3.4
Izard,5.1
Jackson,5.1
Jefferson,4.6
Johnson,4.4
Lafayette,4.9
Lawrence,3.4
Lee,5.2
Lincoln,4.0
Little River,3.5
Logan,4.0
Lonoke,2.7
Madison,2.6
Marion,4.1
Miller,3.6
Mississippi,4.9
Monroe,3.9
Montgomery,4.9
Nevada,3.7
Newton,3.4
Ouachita,3.9
Perry,3.6
Phillips,6.5
Pike,3.5
Poinsett,3.3
Polk,3.6
Pope,3.9
Prairie,3.1
Pulaski,3.2
Randolph,3.5
Saline,2.7
Scott,3.0
Searcy,4.3
Sebastian,3.4
Sevier,3.8
Sharp,3.9
St. Francis,5.0
Stone,4.1
Union,4.6
Van Buren,4.0
Washington,2.3
White,3.5
Woodruff,3.6
Yell,3.7
