Institution,City,Type,Latitude,Longitude
University of Arkansas,Fayetteville,4-year,36.0686895,-94.1748471
Arkansas State University,Jonesboro,4-year,35.8430861,-90.67485889999999
University of Central Arkansas,Conway,4-year,35.0780939,-92.4578916
Southern Arkansas University,Magnolia,4-year,33.2930971,-93.2329419
University of Arkansas at Pine Bluff,Pine Bluff,4-year,34.2473695,-92.0217418
Henderson State University,Arkadelphia,4-year,34.1299174,-93.06025729999999
Arkansas Tech University,Russellville,4-year,35.29378880000001,-93.1361472
University of Arkansas at Fort Smith,Fort Smith,4-year,35.3469234,-94.4139277
Philander Smith University,Little Rock,4-year,34.7371492,-92.28296929999999
Harding University,Searcy,4-year,35.249506,-91.7271669
Arkansas State University-Beebe,Beebe,2-year,35.0729706,-91.8962336
Arkansas State University-Mountain Home,Mountain Home,2-year,36.3204181,-92.3885758
Arkansas State University-Newport,Newport,2-year,35.6384201,-91.1887359
Black River Technical College,Pocahontas,2-year,36.239859,-90.951221
Cossatot Community College of UA,De Queen,2-year,34.0446395,-94.3673553
East Arkansas Community College,Forrest City,2-year,35.041778,-90.76758749999999
National Park College,Hot Springs,2-year,34.512349,-93.1188971
North Arkansas College,Harrison,2-year,36.2204818,-93.0888137
NorthWest Arkansas Community College,Bentonville,2-year,36.358598,-94.172471
Ozarka College,Melbourne,2-year,36.0540569,-91.8966131
Phillips Community College of UA,Helena-West Helena,2-year,34.545536,-90.61691599999999
Rich Mountain Community College,Mena,2-year,34.5909966,-94.22007669999999
South Arkansas Community College,El Dorado,2-year,33.20952630000001,-92.66605159999999
Southeast Arkansas College,Pine Bluff,2-year,34.2097705,-92.0266302
University of Arkansas Community College at Batesville,Batesville,2-year,35.7931929,-91.616377
University of Arkansas Community College at Hope,Hope,2-year,33.6413594,-93.59596959999999
University of Arkansas Community College at Morrilton,Morrilton,2-year,35.1719646,-92.72951309999999
University of Arkansas-Pulaski Technical College,North Little Rock,2-year,34.78212980000001,-92.29936359999999
Arkansas Northeastern College,Blytheville,2-year,35.8985987,-89.92087389999999
Arkansas State University Mid-South,West Memphis,2-year,35.1454262,-90.22286059999999
