county,ClusterLabel,ClusterName,VulnerabilityScore,BachelorsDegreePct,PovertyRate,UnemploymentRate
Baxter,0,Moderate Risk - Mixed Characteristics,2,0.04372860522448979,16.0,3.6
Cleburne,0,Moderate Risk - Mixed Characteristics,2,0.07180112513263902,13.5,3.9
Fulton,0,Moderate Risk - Mixed Characteristics,1,0.12657035786168586,17.5,3.8
Independence,0,Moderate Risk - Mixed Characteristics,2,0.04402670305323591,13.5,3.4
Izard,0,Moderate Risk - Mixed Characteristics,2,0.1320500272425718,20.3,5.1
Jackson,0,Moderate Risk - Mixed Characteristics,2,0.07897956684938036,24.6,5.1
Marion,0,Moderate Risk - Mixed Characteristics,1,0.08815218573712459,17.4,4.1
Searcy,1,High Risk - Low Education/High Poverty,2,0.17536011068408913,20.2,4.3
Sharp,0,Moderate Risk - Mixed Characteristics,1,0.06638733414959928,19.7,3.9
Stone,0,Moderate Risk - Mixed Characteristics,1,0.12140266885013022,17.7,4.1
Van Buren,0,Moderate Risk - Mixed Characteristics,1,0.09776123844628917,16.5,4.0
White,0,Moderate Risk - Mixed Characteristics,2,0.025242149505430075,15.7,3.5
Woodruff,1,High Risk - Low Education/High Poverty,2,0.26644618913480883,24.4,3.6
