county,2013 rural-urban continuum code,2013 urban influence code,2023 rural-urban continuum code,2024 urban influence code,"bachelor's degree or higher, 1990","bachelor's degree or higher, 2000","bachelor's degree or higher, 2008-12","bachelor's degree or higher, 2019-23","four years of college or higher, 1970","four years of college or higher, 1980","high school diploma only, 1970","high school diploma only, 1980","high school graduate (or equivalency), 1990","high school graduate (or equivalency), 2000","high school graduate (or equivalency), 2008-12","high school graduate (or equivalency), 2019-23","less than a high school diploma, 1970","less than a high school diploma, 1980","less than high school graduate, 1990","less than high school graduate, 2000","less than high school graduate, 2008-12","less than high school graduate, 2019-23","percent of adults completing four years of college or higher, 1970","percent of adults completing four years of college or higher, 1980","percent of adults completing some college (1-3 years), 1970","percent of adults completing some college (1-3 years), 1980","percent of adults completing some college or associate degree, 1990","percent of adults completing some college or associate degree, 2000","percent of adults completing some college or associate degree, 2008-12","percent of adults completing some college or associate degree, 2019-23","percent of adults who are high school graduates (or equivalent), 1990","percent of adults who are high school graduates (or equivalent), 2000","percent of adults who are high school graduates (or equivalent), 2008-12","percent of adults who are high school graduates (or equivalent), 2019-23","percent of adults who are not high school graduates, 1990","percent of adults who are not high school graduates, 2000","percent of adults who are not high school graduates, 2008-12","percent of adults who are not high school graduates, 2019-23","percent of adults with a bachelor's degree or higher, 1990","percent of adults with a bachelor's degree or higher, 2000","percent of adults with a bachelor's degree or higher, 2008-12","percent of adults with a bachelor's degree or higher, 2019-23","percent of adults with a high school diploma only, 1970","percent of adults with a high school diploma only, 1980","percent of adults with less than a high school diploma, 1970","percent of adults with less than a high school diploma, 1980","some college (1-3 years), 1970","some college (1-3 years), 1980","some college or associate degree, 1990","some college or associate degree, 2000","some college or associate degree, 2008-12","some college or associate degree, 2019-23",medhhinc_2023,pctpov017_2023,pctpov04_2023,pctpovall_2023,pov017_2023,pov04_2023,povall_2023,rural_urban_continuum_code_2023_x,civilian_labor_force_2023,employed_2023,metro_2023,rural_urban_continuum_code_2023_y,unemployed_2023,unemployment_rate_2023,births_2023,deaths_2023,domestic_mig_2023,gq_estimates_2023,international_mig_2023,n_pop_chg_2023,natural_chg_2023,net_mig_2023,pop_estimate_2023,r_birth_2023,r_death_2023,r_domestic_mig_2023,r_international_mig_2023,r_natural_chg_2023,r_net_mig_2023,residual_2023,rural_urban_continuum_code_2023
arkansas,6.0,6.0,6.0,6.0,199304.0,288428.0,380334.0,513221.0,70378.0,144677.0,271150.0,443429.0,489570.0,590416.0,674742.0,702778.0,635149.0,595637.0,503481.0,427449.0,320693.0,233857.0,6.7,10.8,7.6,11.5,20.3,24.5,28.38411922,29.06004025,32.7,34.1,35.1238054,34.3862032,33.7,24.7,16.69372668,11.44238198,13.3,16.7,19.79834871,25.11137457,25.6,33.2,60.1,44.5,80835.0,153375.0,303795.0,424907.0,545270.0,593923.0,58748.0,20.2,21.8,15.4,140145.0,38354.0,459700.0,6.0,9100.0,8858.0,0.0,6.0,242.0,2.7,186.0,305.0,-71.0,322.0,-1.0,-191.0,-119.0,-72.0,16307.0,11.3,18.6,-4.3,-0.1,-7.3,-4.4,0.0,6.0
ashley,7.0,11.0,7.0,9.0,1422.0,1582.0,1934.0,1589.0,782.0,1163.0,3537.0,5458.0,5874.0,6798.0,6412.0,6796.0,7896.0,7201.0,5659.0,4325.0,2538.0,1588.0,6.0,7.7,6.9,8.4,14.9,19.2,26.15509872,23.56683017,38.6,43.2,43.50362983,52.08461067,37.2,27.5,17.21962141,12.17044758,9.3,10.1,13.12165004,12.17811159,27.0,36.2,60.2,47.7,907.0,1261.0,2267.0,3017.0,3855.0,3075.0,49560.0,25.2,,18.4,1030.0,,3338.0,7.0,6450.0,6087.0,0.0,7.0,363.0,5.6,199.0,315.0,36.0,154.0,-2.0,-86.0,-116.0,34.0,18262.0,10.9,17.2,2.0,-0.1,-6.3,1.9,-4.0,7.0
baxter,7.0,8.0,7.0,7.0,2436.0,3688.0,4873.0,6029.0,599.0,1761.0,2998.0,7554.0,8307.0,10832.0,11657.0,11142.0,5645.0,8354.0,7491.0,6482.0,4137.0,3408.0,5.7,9.0,11.7,9.7,22.0,27.2,34.25899418,36.00460242,35.6,37.5,37.08051023,34.64875455,32.1,22.5,13.15965264,10.59800355,10.4,12.8,15.50084296,18.74863949,28.6,38.6,53.9,42.7,1230.0,1896.0,5130.0,7859.0,10770.0,11578.0,48804.0,20.6,,16.0,1522.0,,6746.0,7.0,16806.0,16204.0,0.0,7.0,602.0,3.6,349.0,801.0,843.0,522.0,-4.0,390.0,-452.0,839.0,42875.0,8.2,18.8,19.8,-0.1,-10.6,19.7,3.0,7.0
benton,2.0,2.0,2.0,4.0,9291.0,20210.0,39866.0,71213.0,1799.0,5695.0,8355.0,17832.0,23121.0,32644.0,44020.0,54731.0,16503.0,18445.0,16315.0,19465.0,20314.0,18335.0,6.2,11.8,8.6,13.0,24.7,27.3,26.51000085,25.83238661,35.7,32.8,31.04635089,28.1348474,25.2,19.6,14.32702344,9.425232996,14.4,20.3,28.11662482,36.60753299,28.6,37.0,56.6,38.2,2512.0,6255.0,15948.0,27117.0,37588.0,50252.0,92632.0,9.0,,7.8,6929.0,,23885.0,2.0,154952.0,151167.0,1.0,2.0,3785.0,2.4,3908.0,2211.0,5376.0,3030.0,1096.0,8191.0,1697.0,6472.0,311013.0,12.7,7.2,17.5,3.6,5.5,21.1,22.0,2.0
boone,7.0,8.0,7.0,7.0,2000.0,2924.0,3943.0,4333.0,839.0,1605.0,3413.0,6157.0,6711.0,8075.0,9921.0,9469.0,6541.0,6585.0,6071.0,5344.0,3746.0,2464.0,7.2,9.8,7.5,12.1,21.2,29.2,31.264637,38.77136189,35.8,35.0,38.7236534,35.64330347,32.4,23.2,14.62138954,9.275013175,10.7,12.7,15.39032006,16.31032146,29.3,37.7,56.1,40.3,875.0,1977.0,3983.0,6727.0,8010.0,10300.0,56154.0,18.7,,14.9,1604.0,,5660.0,7.0,15848.0,15352.0,0.0,7.0,496.0,3.1,406.0,526.0,376.0,445.0,-2.0,250.0,-120.0,374.0,38530.0,10.6,13.7,9.8,-0.1,-3.1,9.7,-4.0,7.0
bradley,7.0,9.0,7.0,8.0,754.0,998.0,877.0,1093.0,321.0,682.0,1744.0,2730.0,2677.0,3082.0,3140.0,3130.0,4997.0,4530.0,3391.0,2794.0,1981.0,883.0,4.3,8.0,4.7,6.3,11.8,17.9,22.73605565,26.34160415,34.6,36.8,40.4482803,45.15291402,43.9,33.4,25.51848512,12.73802654,9.8,11.9,11.29717893,15.76745528,23.5,32.2,67.4,53.4,347.0,538.0,909.0,1494.0,1765.0,1826.0,44525.0,28.7,,23.2,698.0,,2314.0,7.0,4037.0,3850.0,0.0,7.0,187.0,4.6,118.0,154.0,-24.0,218.0,-5.0,-64.0,-36.0,-29.0,10104.0,11.6,15.2,-2.4,-0.5,-3.6,-2.9,1.0,7.0
calhoun,9.0,8.0,9.0,7.0,279.0,285.0,260.0,613.0,110.0,149.0,712.0,1339.0,1534.0,1701.0,1805.0,1442.0,2159.0,1897.0,1382.0,1221.0,804.0,451.0,3.5,4.1,5.2,6.0,15.3,17.9,24.71792181,25.98936799,40.7,43.5,47.36289688,42.58712345,36.7,31.3,21.09682498,13.31955109,7.4,7.3,6.822356337,18.10395747,22.7,37.2,68.7,52.7,162.0,217.0,575.0,699.0,942.0,880.0,57689.0,17.8,,14.3,149.0,,639.0,9.0,2353.0,2284.0,0.0,9.0,69.0,2.9,51.0,88.0,-8.0,149.0,0.0,-46.0,-37.0,-8.0,4641.0,10.9,18.9,-1.7,0.0,-7.9,-1.7,-1.0,9.0
carroll,6.0,6.0,6.0,6.0,1471.0,2380.0,3174.0,4296.0,398.0,1056.0,2177.0,3776.0,4460.0,5855.0,7177.0,7078.0,4706.0,4618.0,4012.0,4857.0,3615.0,3255.0,5.1,9.8,7.4,12.2,21.6,23.9,27.27178045,28.0882859,35.2,34.0,37.37436859,34.79329499,31.6,28.2,18.82518357,16.00058988,11.6,13.8,16.5286674,21.11782923,27.7,35.1,59.8,42.9,583.0,1313.0,2735.0,4115.0,5237.0,5714.0,53986.0,19.4,,14.8,1180.0,,4232.0,6.0,12299.0,11938.0,0.0,6.0,361.0,2.9,326.0,371.0,104.0,230.0,36.0,97.0,-45.0,140.0,28814.0,11.3,12.9,3.6,1.3,-1.6,4.9,2.0,6.0
chicot,7.0,9.0,9.0,9.0,769.0,1058.0,1145.0,1202.0,432.0,649.0,1710.0,2522.0,2927.0,3196.0,3286.0,2789.0,6808.0,5658.0,4527.0,3242.0,2215.0,1287.0,4.6,6.8,4.9,8.1,11.4,17.3,17.61497459,24.35144045,31.5,35.3,40.73385397,39.97420095,48.8,35.8,27.45754308,18.44632363,8.3,11.7,14.19362836,17.22803497,18.2,26.3,72.3,58.9,462.0,776.0,1055.0,1566.0,1421.0,1699.0,40381.0,37.2,,29.7,744.0,,2621.0,9.0,2851.0,2687.0,0.0,9.0,164.0,5.8,88.0,173.0,-209.0,690.0,-1.0,-296.0,-85.0,-210.0,9538.0,9.1,17.9,-21.6,-0.1,-8.8,-21.7,-1.0,9.0
clark,7.0,8.0,7.0,7.0,2288.0,2722.0,2904.0,3155.0,1243.0,2048.0,2356.0,3794.0,3664.0,4447.0,4931.0,4048.0,6340.0,5700.0,4494.0,3396.0,1993.0,1242.0,11.4,15.8,8.5,10.7,18.4,23.1,26.81510165,31.76860305,28.6,32.4,36.71904088,32.70582532,35.1,24.7,14.84101571,10.03474186,17.9,19.8,21.62484176,25.49082976,21.7,29.3,58.4,44.1,922.0,1390.0,2359.0,3170.0,3601.0,3932.0,53561.0,20.4,,18.9,864.0,,3512.0,7.0,8499.0,8098.0,0.0,7.0,401.0,4.7,239.0,289.0,40.0,2767.0,8.0,-2.0,-50.0,48.0,21274.0,11.2,13.6,1.9,0.4,-2.4,2.3,0.0,7.0
