county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,IsNCA,EducationGap,BachelorsDegreePct_Norm,HighSchoolGradPct_Norm,PovertyRate_Norm,UnemploymentRate_Norm,Population_Norm,EducationGap_Norm,HighPoverty,LowBachelorRate,HighUnemployment,LargePopulation,WideEducationGap
arkansas,0.15399138143128716,0.21086774514012385,15.4,2.7,16307.0,0,0.0568763637088367,0.37991418555602047,0.22448781020829264,0.24595469255663427,0.09523809523809534,0.02950668744056171,0.09594818362396877,0,1,0,0,0
ashley,0.06668553055525135,0.28520759319899247,18.4,5.6,18262.0,0,0.21852206264374113,0.1506129297890138,0.30605923977328103,0.3430420711974109,0.7857142857142857,0.034451447765120095,0.3547225484493855,0,1,0,0,0
baxter,0.04372860522448979,0.0808134216909621,16.0,3.6,42875.0,1,0.03708481646647231,0.09031855370684982,0.08178215016370088,0.2653721682847896,0.30952380952380953,0.09670484207118432,0.06426441411880214,0,1,0,1,0
benton,0.01177041891818027,0.009046196589853159,7.8,2.4,311013.0,0,-0.0027242223283271104,0.006383145271535294,0.003033601434169529,0.0,0.023809523809523836,0.7749033811537606,0.0005351667814938628,0,1,0,1,0
boone,0.04233148575136257,0.09250792491565014,14.9,3.1,38530.0,0,0.05017643916428757,0.08664914041518526,0.09461426337080296,0.2297734627831715,0.19047619047619047,0.0857150806337387,0.0852224499371596,0,1,0,1,0
bradley,0.15605161599366588,0.4468815718527316,23.2,4.6,10104.0,0,0.2908299558590657,0.3853252131972126,0.48346043047522524,0.4983818770226537,0.5476190476190476,0.01381750672790919,0.47047836046263836,1,1,0,0,0
calhoun,0.39008742663219137,0.9176281717302306,14.3,2.9,4641.0,0,0.5275407450980392,1.0,0.9999999999999999,0.21035598705501618,0.1428571428571429,0.0,0.8494224618909482,0,1,0,0,0
carroll,0.07329016877212467,0.12075135347400569,14.8,2.9,28814.0,0,0.047461184701881015,0.1679594400379794,0.12560513708764576,0.22653721682847894,0.1428571428571429,0.061140507071892516,0.0808756701992614,0,1,0,1,0
chicot,0.18062523558397986,0.41910464405535747,29.7,5.8,9538.0,0,0.2384794084713776,0.4498656967302168,0.452981437465164,0.7087378640776698,0.8333333333333334,0.0123859290584974,0.3866717405663224,1,1,0,0,0
clark,0.11982151809720785,0.15373613481244713,18.9,4.7,21274.0,0,0.03391461671523928,0.2901699989605946,0.1617985896964614,0.35922330097087374,0.5714285714285715,0.04206966674085915,0.05918932438613076,0,1,0,1,0
clay,0.1100017455108795,0.313614702063235,17.5,4.1,14201.0,0,0.2036129565523555,0.26437921675301207,0.33722971617820385,0.31391585760517793,0.4285714285714285,0.024180004451548942,0.3308549510785037,0,1,0,0,0
cleburne,0.07180112513263902,0.15501226225191592,13.5,3.9,25445.0,1,0.0832111371192769,0.16404859588492554,0.16319885539867465,0.1844660194174757,0.38095238095238093,0.05261933186297324,0.13810683249004393,0,1,0,1,0
cleveland,0.22022101111412307,0.606679875847113,15.7,3.5,7378.0,0,0.38645886473298996,0.5538605717704015,0.6588034859057404,0.25566343042071193,0.2857142857142857,0.006922664454381741,0.6235681755078434,0,1,0,0,0
columbia,0.09201778559819412,0.18326635255079007,23.3,4.3,22150.0,0,0.09124856695259595,0.21714590363293834,0.19420142800162585,0.5016181229773462,0.47619047619047616,0.04428532405252828,0.1509737433552911,1,1,0,1,0
conway,0.08618685462826778,0.2061909833942212,17.1,3.8,21077.0,0,0.12000412876595343,0.20183146845730177,0.21935610559348048,0.30097087378640774,0.3571428571428571,0.04157139677465046,0.19700776895869548,0,1,0,1,0
craighead,0.024358181677822326,0.02838892739027835,16.1,2.7,113993.0,0,0.0040307457124560235,0.03944381393372408,0.024257941331016865,0.26860841423948223,0.09523809523809534,0.2765828291616924,0.011349018159460801,0,1,0,1,0
crawford,0.031188076101533343,0.05865138698679937,13.3,3.4,61891.0,0,0.02746331088526603,0.05738194010051097,0.05746425202304452,0.1779935275080906,0.26190476190476186,0.1448018049007507,0.048861597886472236,0,1,0,1,0
crittenden,0.03647754513248054,0.08011397405545302,20.6,4.2,47139.0,0,0.04363642892297248,0.07127427238943208,0.08101466213373953,0.4142394822006472,0.45238095238095244,0.1074897310859756,0.07475271886915533,1,1,0,1,0
cross,0.09034230164433617,0.2567315643118148,19.1,3.4,16420.0,0,0.16638926266747867,0.21274539014177946,0.274813138990003,0.3656957928802589,0.26190476190476186,0.029792497116610354,0.27126451467973617,0,1,0,0,0
dallas,0.17999765513338722,0.7822163723524655,19.6,3.9,6185.0,0,0.6022187172190783,0.44821741103147206,0.8514157031036068,0.3818770226537217,0.38095238095238093,0.0039052224762752673,0.9689724711358848,0,1,0,0,0
desha,0.12438959910296785,0.3921197687756466,25.0,4.6,10479.0,0,0.2677301696726787,0.30216766808077145,0.42337154572236896,0.5566343042071197,0.5476190476190476,0.014765990166123713,0.4334985178972482,1,1,0,0,0
drew,0.13768964207730894,0.22668482295662437,20.6,4.2,16945.0,0,0.08899518087931543,0.3370990790362847,0.24184353103261963,0.4142394822006472,0.45238095238095244,0.031120373930110683,0.1473663566220726,1,1,0,0,0
faulkner,0.025545737031650393,0.023393629090965054,12.9,2.9,129951.0,0,-0.002152107940685339,0.042562825216395775,0.018776713779194744,0.16504854368932037,0.1428571428571429,0.3169452257137654,0.0014510497171054161,0,1,0,1,0
franklin,0.07534563579116098,0.23952529070299977,19.0,3.2,17468.0,0,0.16417965491183878,0.17335794613949956,0.25593308512379204,0.36245954692556626,0.2142857142857143,0.032443192165273874,0.26772721150837686,0,1,0,0,0
fulton,0.12657035786168586,0.32874133435311165,17.5,3.8,12421.0,1,0.2021709764914258,0.30789524208504926,0.35382782678251995,0.31391585760517793,0.3571428571428571,0.019677869731490667,0.3285465229742195,0,1,0,0,0
garland,0.026303318377695825,0.030966179357412013,18.9,3.7,99784.0,0,0.004662860979716188,0.04455254700767103,0.027085901473493795,0.35922330097087374,0.33333333333333337,0.24064415936545194,0.01236095493142261,0,1,0,1,0
grant,0.11385844600990044,0.22720382353261162,11.1,2.9,18383.0,0,0.11334537752271118,0.2745085065848976,0.24241301859593573,0.10679611650485432,0.1428571428571429,0.03475749175451731,0.1863479485313399,0,1,0,0,0
greene,0.03527580600303788,0.09112117422929636,16.2,3.3,46743.0,0,0.05584536822625848,0.06811800864856535,0.09309261328824522,0.27184466019417464,0.23809523809523803,0.10648813257522106,0.0942976899646881,0,1,0,1,0
hempstead,0.07545683720208861,0.20417502564235124,16.6,3.4,19343.0,0,0.12871818844026262,0.1736500070141479,0.21714404086565872,0.28478964401294493,0.26190476190476186,0.037185609356346495,0.21095787881084954,0,1,0,0,0
hot spring,0.04746054525227013,0.12333224872211196,16.9,3.5,33258.0,0,0.07587170346984183,0.1001201709665251,0.12843709491971989,0.2944983818770226,0.2857142857142857,0.07238066813702677,0.1263573254303127,0,1,0,1,0
howard,0.13307711202425598,0.34895986818798375,17.8,3.5,12533.0,0,0.21588275616372776,0.3249846683431245,0.3760131654895964,0.3236245954692556,0.2857142857142857,0.019961150118370734,0.35049735184690667,0,1,0,0,0
independence,0.04402670305323591,0.10283872327766178,13.5,3.4,38320.0,1,0.058812020224425866,0.09110148183580143,0.1059500141550877,0.1844660194174757,0.26190476190476186,0.08518392990833856,0.09904692543177575,0,1,0,1,0
izard,0.1320500272425718,0.2515462390429811,20.3,5.1,14169.0,1,0.11949621180040931,0.32228711911983404,0.26912339915352557,0.40453074433656955,0.6666666666666666,0.024099067198154633,0.1961946579943533,1,1,0,0,0
jackson,0.07897956684938036,0.2558500020853194,24.6,5.1,16784.0,1,0.17687043523593904,0.18290215132917892,0.2738458207489328,0.5436893203883495,0.6666666666666666,0.03071315837397058,0.28804354927144005,1,1,0,0,0
jefferson,0.032423573475126054,0.06455708909693533,24.3,4.6,63661.0,0,0.03213351562180928,0.06062686694583663,0.0639444450324152,0.5339805825242718,0.5476190476190476,0.14927864672912325,0.05633800630480147,1,1,0,1,0
johnson,0.06918507103218645,0.15763854889203566,17.1,4.4,26129.0,0,0.08845347785984921,0.15717775636650727,0.1660806201759224,0.30097087378640774,0.5000000000000001,0.05434936565427653,0.14649915844909286,0,1,0,1,0
lafayette,0.1511112976702215,0.7727116356029532,22.8,4.9,6095.0,0,0.6216003379327317,0.3723498950016082,0.8409863709951709,0.4854368932038835,0.6190476190476192,0.003677586451103783,1.0,1,1,0,0,0
lawrence,0.08602362599583283,0.22520917986272826,18.3,3.4,16318.0,0,0.13918555386689543,0.2014027625914417,0.24022434132696557,0.3398058252427184,0.26190476190476186,0.029534509621416002,0.2277148099109046,0,1,0,0,0
