County,Value
arkansas,0.154
ashley,0.067
baxter,0.044
benton,0.012
boone,0.042
bradley,0.156
calhoun,0.39
carroll,0.073
chicot,0.181
clark,0.12
clay,0.11
cleburne,0.072
cleveland,0.22
columbia,0.092
conway,0.086
craighead,0.024
crawford,0.031
crittenden,0.036
cross,0.09
dallas,0.18
desha,0.124
drew,0.138
faulkner,0.026
franklin,0.075
fulton,0.127
garland,0.026
grant,0.114
greene,0.035
hempstead,0.075
hot spring,0.047
howard,0.133
independence,0.044
izard,0.132
jackson,0.079
jefferson,0.032
johnson,0.069
lafayette,0.151
lawrence,0.086
lee,0.084
lincoln,0.084
little river,0.148
logan,0.073
lonoke,0.028
madison,0.072
marion,0.088
miller,0.038
mississippi,0.037
monroe,0.24
montgomery,0.195
nevada,0.144
newton,0.202
ouachita,0.069
perry,0.168
phillips,0.097
pike,0.192
poinsett,0.053
polk,0.089
pope,0.038
prairie,0.208
pulaski,0.009
randolph,0.077
saline,0.022
scott,0.11
searcy,0.175
sebastian,0.019
sevier,0.07
sharp,0.066
st. francis,0.058
stone,0.121
union,0.051
van buren,0.098
washington,0.013
white,0.025
woodruff,0.266
yell,0.071
