County,Value
arkansas,0.211
ashley,0.285
baxter,0.081
benton,0.009
boone,0.093
bradley,0.447
calhoun,0.918
carroll,0.121
chicot,0.419
clark,0.154
clay,0.314
cleburne,0.155
cleveland,0.607
columbia,0.183
conway,0.206
craighead,0.028
crawford,0.059
crittenden,0.08
cross,0.257
dallas,0.782
desha,0.392
drew,0.227
faulkner,0.023
franklin,0.24
fulton,0.329
garland,0.031
grant,0.227
greene,0.091
hempstead,0.204
hot spring,0.123
howard,0.349
independence,0.103
izard,0.252
jackson,0.256
jefferson,0.065
johnson,0.158
lafayette,0.773
lawrence,0.225
lee,0.582
lincoln,0.373
little river,0.369
logan,0.204
lonoke,0.049
madison,0.291
marion,0.206
miller,0.095
mississippi,0.11
monroe,0.624
montgomery,0.429
nevada,0.601
newton,0.544
ouachita,0.194
perry,0.434
phillips,0.225
pike,0.361
poinsett,0.205
polk,0.184
pope,0.054
prairie,0.546
pulaski,0.006
randolph,0.215
saline,0.025
scott,0.438
searcy,0.467
sebastian,0.023
sevier,0.21
sharp,0.226
st. francis,0.2
stone,0.295
union,0.107
van buren,0.273
washington,0.011
white,0.052
woodruff,0.774
yell,0.198
