County,Value
arkansas,15.4
ashley,18.4
baxter,16.0
benton,7.8
boone,14.9
bradley,23.2
calhoun,14.3
carroll,14.8
chicot,29.7
clark,18.9
clay,17.5
cleburne,13.5
cleveland,15.7
columbia,23.3
conway,17.1
craighead,16.1
crawford,13.3
crittenden,20.6
cross,19.1
dallas,19.6
desha,25.0
drew,20.6
faulkner,12.9
franklin,19.0
fulton,17.5
garland,18.9
grant,11.1
greene,16.2
hempstead,16.6
hot spring,16.9
howard,17.8
independence,13.5
izard,20.3
jackson,24.6
jefferson,24.3
johnson,17.1
lafayette,22.8
lawrence,18.3
lee,38.7
lincoln,26.2
little river,17.7
logan,16.6
lonoke,9.6
madison,14.8
marion,17.4
miller,21.5
mississippi,24.9
monroe,26.3
montgomery,18.8
nevada,23.2
newton,18.8
ouachita,18.8
perry,14.1
phillips,34.2
pike,18.2
poinsett,19.1
polk,18.8
pope,13.5
prairie,15.4
pulaski,15.7
randolph,18.5
saline,9.3
scott,19.5
searcy,20.2
sebastian,12.8
sevier,18.7
sharp,19.7
st. francis,34.3
stone,17.7
union,19.0
van buren,16.5
washington,13.5
white,15.7
woodruff,24.4
yell,16.5
