County,Value
arkansas,2.7
ashley,5.6
baxter,3.6
benton,2.4
boone,3.1
bradley,4.6
calhoun,2.9
carroll,2.9
chicot,5.8
clark,4.7
clay,4.1
cleburne,3.9
cleveland,3.5
columbia,4.3
conway,3.8
craighead,2.7
crawford,3.4
crittenden,4.2
cross,3.4
dallas,3.9
desha,4.6
drew,4.2
faulkner,2.9
franklin,3.2
fulton,3.8
garland,3.7
grant,2.9
greene,3.3
hempstead,3.4
hot spring,3.5
howard,3.5
independence,3.4
izard,5.1
jackson,5.1
jefferson,4.6
johnson,4.4
lafayette,4.9
lawrence,3.4
lee,5.2
lincoln,4.0
little river,3.5
logan,4.0
lonoke,2.7
madison,2.6
marion,4.1
miller,3.6
mississippi,4.9
monroe,3.9
montgomery,4.9
nevada,3.7
newton,3.4
ouachita,3.9
perry,3.6
phillips,6.5
pike,3.5
poinsett,3.3
polk,3.6
pope,3.9
prairie,3.1
pulaski,3.2
randolph,3.5
saline,2.7
scott,3.0
searcy,4.3
sebastian,3.4
sevier,3.8
sharp,3.9
st. francis,5.0
stone,4.1
union,4.6
van buren,4.0
washington,2.3
white,3.5
woodruff,3.6
yell,3.7
