county,TotalRiskFlags
jefferson,3
crittenden,3
columbia,3
mississippi,3
miller,3
phillips,3
st. francis,3
clark,2
baxter,2
boone,2
benton,2
woodruff,2
yell,2
white,2
washington,2
carroll,2
bradley,2
chicot,2
conway,2
faulkner,2
garland,2
jackson,2
izard,2
crawford,2
craighead,2
drew,2
cleburne,2
lonoke,2
logan,2
lee,2
lincoln,2
lafayette,2
johnson,2
union,2
searcy,2
nevada,2
ouachita,2
pope,2
poinsett,2
hot spring,2
independence,2
greene,2
desha,2
saline,2
sebastian,2
pulaski,2
monroe,2
clay,1
calhoun,1
arkansas,1
ashley,1
cross,1
cleveland,1
howard,1
hempstead,1
dallas,1
franklin,1
fulton,1
grant,1
little river,1
lawrence,1
perry,1
pike,1
madison,1
marion,1
montgomery,1
newton,1
prairie,1
polk,1
randolph,1
scott,1
sharp,1
sevier,1
van buren,1
stone,1
