County,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,EducationGap,VulnerabilityScore,ClusterLabel,ClusterLabelName,PredictedClusterLabel,PredictedClusterMatch,ClusterMatch
arkansas,0.15399138143128716,0.21086774514012385,15.4,2.7,0.0568763637088367,1,0,High Poverty / Low Degree,0,1,Match
ashley,0.06668553055525135,0.28520759319899247,18.4,5.6,0.21852206264374113,1,2,Low Poverty / Low Education,2,1,Match
baxter,0.04372860522448979,0.0808134216909621,16.0,3.6,0.03708481646647231,2,0,High Poverty / Low Degree,0,1,Match
benton,0.01177041891818027,0.009046196589853159,7.8,2.4,-0.0027242223283271104,2,0,High Poverty / Low Degree,0,1,Match
boone,0.04233148575136257,0.09250792491565014,14.9,3.1,0.05017643916428757,2,0,High Poverty / Low Degree,0,1,Match
bradley,0.15605161599366588,0.4468815718527316,23.2,4.6,0.2908299558590657,2,2,Low Poverty / Low Education,2,1,Match
calhoun,0.39008742663219137,0.9176281717302306,14.3,2.9,0.5275407450980392,1,1,Moderate Risk / Moderate Education,1,1,Match
carroll,0.07329016877212467,0.12075135347400569,14.8,2.9,0.047461184701881015,2,0,High Poverty / Low Degree,0,1,Match
chicot,0.18062523558397986,0.41910464405535747,29.7,5.8,0.2384794084713776,2,2,Low Poverty / Low Education,2,1,Match
clark,0.11982151809720785,0.15373613481244713,18.9,4.7,0.03391461671523928,2,0,High Poverty / Low Degree,0,1,Match
clay,0.1100017455108795,0.313614702063235,17.5,4.1,0.2036129565523555,1,0,High Poverty / Low Degree,0,1,Match
cleburne,0.07180112513263902,0.15501226225191592,13.5,3.9,0.0832111371192769,2,0,High Poverty / Low Degree,0,1,Match
cleveland,0.22022101111412307,0.606679875847113,15.7,3.5,0.38645886473298996,1,1,Moderate Risk / Moderate Education,1,1,Match
columbia,0.09201778559819412,0.18326635255079007,23.3,4.3,0.09124856695259595,3,0,High Poverty / Low Degree,0,1,Match
conway,0.08618685462826778,0.2061909833942212,17.1,3.8,0.12000412876595343,2,0,High Poverty / Low Degree,0,1,Match
craighead,0.024358181677822326,0.02838892739027835,16.1,2.7,0.0040307457124560235,2,0,High Poverty / Low Degree,0,1,Match
crawford,0.031188076101533343,0.05865138698679937,13.3,3.4,0.02746331088526603,2,0,High Poverty / Low Degree,0,1,Match
crittenden,0.03647754513248054,0.08011397405545302,20.6,4.2,0.04363642892297248,3,0,High Poverty / Low Degree,0,1,Match
cross,0.09034230164433617,0.2567315643118148,19.1,3.4,0.16638926266747867,1,0,High Poverty / Low Degree,0,1,Match
dallas,0.17999765513338722,0.7822163723524655,19.6,3.9,0.6022187172190783,1,1,Moderate Risk / Moderate Education,1,1,Match
desha,0.12438959910296785,0.3921197687756466,25.0,4.6,0.2677301696726787,2,2,Low Poverty / Low Education,2,1,Match
drew,0.13768964207730894,0.22668482295662437,20.6,4.2,0.08899518087931543,2,0,High Poverty / Low Degree,0,1,Match
faulkner,0.025545737031650393,0.023393629090965054,12.9,2.9,-0.002152107940685339,2,0,High Poverty / Low Degree,0,1,Match
franklin,0.07534563579116098,0.23952529070299977,19.0,3.2,0.16417965491183878,1,0,High Poverty / Low Degree,0,1,Match
fulton,0.12657035786168586,0.32874133435311165,17.5,3.8,0.2021709764914258,1,0,High Poverty / Low Degree,0,1,Match
garland,0.026303318377695825,0.030966179357412013,18.9,3.7,0.004662860979716188,2,0,High Poverty / Low Degree,0,1,Match
grant,0.11385844600990044,0.22720382353261162,11.1,2.9,0.11334537752271118,1,0,High Poverty / Low Degree,0,1,Match
greene,0.03527580600303788,0.09112117422929636,16.2,3.3,0.05584536822625848,2,0,High Poverty / Low Degree,0,1,Match
hempstead,0.07545683720208861,0.20417502564235124,16.6,3.4,0.12871818844026262,1,0,High Poverty / Low Degree,0,1,Match
hot spring,0.04746054525227013,0.12333224872211196,16.9,3.5,0.07587170346984183,2,0,High Poverty / Low Degree,0,1,Match
howard,0.13307711202425598,0.34895986818798375,17.8,3.5,0.21588275616372776,1,0,High Poverty / Low Degree,0,1,Match
independence,0.04402670305323591,0.10283872327766178,13.5,3.4,0.058812020224425866,2,0,High Poverty / Low Degree,0,1,Match
izard,0.1320500272425718,0.2515462390429811,20.3,5.1,0.11949621180040931,2,2,Low Poverty / Low Education,2,1,Match
jackson,0.07897956684938036,0.2558500020853194,24.6,5.1,0.17687043523593904,2,2,Low Poverty / Low Education,2,1,Match
