county,VulnerabilityScore,VulnerabilityScoreNorm
arkansas,1,0.0
ashley,1,0.0
baxter,2,0.5
benton,2,0.5
boone,2,0.5
bradley,2,0.5
calhoun,1,0.0
carroll,2,0.5
chicot,2,0.5
clark,2,0.5
clay,1,0.0
cleburne,2,0.5
cleveland,1,0.0
columbia,3,1.0
conway,2,0.5
craighead,2,0.5
crawford,2,0.5
crittenden,3,1.0
cross,1,0.0
dallas,1,0.0
desha,2,0.5
drew,2,0.5
faulkner,2,0.5
franklin,1,0.0
fulton,1,0.0
garland,2,0.5
grant,1,0.0
greene,2,0.5
hempstead,1,0.0
hot spring,2,0.5
howard,1,0.0
independence,2,0.5
izard,2,0.5
jackson,2,0.5
jefferson,3,1.0
johnson,2,0.5
lafayette,2,0.5
lawrence,1,0.0
lee,2,0.5
lincoln,2,0.5
little river,1,0.0
logan,2,0.5
lonoke,2,0.5
madison,1,0.0
marion,1,0.0
miller,3,1.0
mississippi,3,1.0
monroe,2,0.5
montgomery,1,0.0
nevada,2,0.5
newton,1,0.0
ouachita,2,0.5
perry,1,0.0
phillips,3,1.0
pike,1,0.0
poinsett,2,0.5
polk,1,0.0
pope,2,0.5
prairie,1,0.0
pulaski,2,0.5
randolph,1,0.0
saline,2,0.5
scott,1,0.0
searcy,2,0.5
sebastian,2,0.5
sevier,1,0.0
sharp,1,0.0
st. francis,3,1.0
stone,1,0.0
union,2,0.5
van buren,1,0.0
washington,2,0.5
white,2,0.5
woodruff,2,0.5
yell,2,0.5
