,state,area name,attribute,value
5000,AR,Arkansas,CENSUS_2020_POP,3011524
5000,AR,Arkansas,ESTIMATES_BASE_2020,3011490
5000,AR,Arkansas,POP_ESTIMATE_2020,3014348
5000,AR,Arkansas,POP_ESTIMATE_2021,3028443
5000,AR,Arkansas,POP_ESTIMATE_2022,3046404
5000,AR,Arkansas,POP_ESTIMATE_2023,3067732
5000,AR,Arkansas,N_POP_CHG_2020,2858
5000,AR,Arkansas,N_POP_CHG_2021,14095
5000,AR,Arkansas,N_POP_CHG_2022,17961
5000,AR,Arkansas,N_POP_CHG_2023,21328
5000,AR,Arkansas,BIRTHS_2020,8509
5000,AR,Arkansas,BIRTHS_2021,34927
5000,AR,Arkansas,BIRTHS_2022,36298
5000,AR,Arkansas,BIRTHS_2023,35566
5000,AR,Arkansas,DEATHS_2020,8475
5000,AR,Arkansas,DEATHS_2021,40180
5000,AR,Arkansas,DEATHS_2022,40362
5000,AR,Arkansas,DEATHS_2023,36473
5000,AR,Arkansas,NATURAL_CHG_2020,34
5000,AR,Arkansas,NATURAL_CHG_2021,-5253
5000,AR,Arkansas,NATURAL_CHG_2022,-4064
5000,AR,Arkansas,NATURAL_CHG_2023,-907
5000,AR,Arkansas,INTERNATIONAL_MIG_2020,94
5000,AR,Arkansas,INTERNATIONAL_MIG_2021,1346
5000,AR,Arkansas,INTERNATIONAL_MIG_2022,3215
5000,AR,Arkansas,INTERNATIONAL_MIG_2023,4096
5000,AR,Arkansas,DOMESTIC_MIG_2020,2537
5000,AR,Arkansas,DOMESTIC_MIG_2021,17806
5000,AR,Arkansas,DOMESTIC_MIG_2022,18841
5000,AR,Arkansas,DOMESTIC_MIG_2023,18106
5000,AR,Arkansas,NET_MIG_2020,2631
5000,AR,Arkansas,NET_MIG_2021,19152
5000,AR,Arkansas,NET_MIG_2022,22056
5000,AR,Arkansas,NET_MIG_2023,22202
5000,AR,Arkansas,RESIDUAL_2020,193
5000,AR,Arkansas,RESIDUAL_2021,196
5000,AR,Arkansas,RESIDUAL_2022,-31
5000,AR,Arkansas,RESIDUAL_2023,33
5000,AR,Arkansas,GQ_ESTIMATES_BASE_2020,82490
5000,AR,Arkansas,GQ_ESTIMATES_2020,82455
5000,AR,Arkansas,GQ_ESTIMATES_2021,82617
5000,AR,Arkansas,GQ_ESTIMATES_2022,84268
5000,AR,Arkansas,GQ_ESTIMATES_2023,85120
5000,AR,Arkansas,R_BIRTH_2021,11.6
5000,AR,Arkansas,R_BIRTH_2022,12
5000,AR,Arkansas,R_BIRTH_2023,11.6
5000,AR,Arkansas,R_DEATH_2021,13.3
5000,AR,Arkansas,R_DEATH_2022,13.3
5000,AR,Arkansas,R_DEATH_2023,11.9
5000,AR,Arkansas,R_NATURAL_CHG_2021,-1.7
5000,AR,Arkansas,R_NATURAL_CHG_2022,-1.3
5000,AR,Arkansas,R_NATURAL_CHG_2023,-0.3
5000,AR,Arkansas,R_INTERNATIONAL_MIG_2021,0.4
5000,AR,Arkansas,R_INTERNATIONAL_MIG_2022,1.1
5000,AR,Arkansas,R_INTERNATIONAL_MIG_2023,1.3
5000,AR,Arkansas,R_DOMESTIC_MIG_2021,5.9
5000,AR,Arkansas,R_DOMESTIC_MIG_2022,6.2
5000,AR,Arkansas,R_DOMESTIC_MIG_2023,5.9
5000,AR,Arkansas,R_NET_MIG_2021,6.3
5000,AR,Arkansas,R_NET_MIG_2022,7.3
5000,AR,Arkansas,R_NET_MIG_2023,7.3
5000,AR,Arkansas,"Less than a high school diploma, 1970",635149
5000,AR,Arkansas,"High school diploma only, 1970",271150
5000,AR,Arkansas,"Some college (1-3 years), 1970",80835
5000,AR,Arkansas,"Four years of college or higher, 1970",70378
5000,AR,Arkansas,"Percent of adults with less than a high school diploma, 1970",60.1
5000,AR,Arkansas,"Percent of adults with a high school diploma only, 1970",25.6
5000,AR,Arkansas,"Percent of adults completing some college (1-3 years), 1970",7.6
5000,AR,Arkansas,"Percent of adults completing four years of college or higher, 1970",6.7
5000,AR,Arkansas,"Less than a high school diploma, 1980",595637
5000,AR,Arkansas,"High school diploma only, 1980",443429
5000,AR,Arkansas,"Some college (1-3 years), 1980",153375
5000,AR,Arkansas,"Four years of college or higher, 1980",144677
5000,AR,Arkansas,"Percent of adults with less than a high school diploma, 1980",44.5
5000,AR,Arkansas,"Percent of adults with a high school diploma only, 1980",33.2
5000,AR,Arkansas,"Percent of adults completing some college (1-3 years), 1980",11.5
5000,AR,Arkansas,"Percent of adults completing four years of college or higher, 1980",10.8
5000,AR,Arkansas,"Less than high school graduate, 1990",503481
5000,AR,Arkansas,"High school graduate (or equivalency), 1990",489570
5000,AR,Arkansas,"Some college or associate degree, 1990",303795
5000,AR,Arkansas,"Bachelor's degree or higher, 1990",199304
5000,AR,Arkansas,"Percent of adults who are not high school graduates, 1990",33.7
5000,AR,Arkansas,"Percent of adults who are high school graduates (or equivalent), 1990",32.7
5000,AR,Arkansas,"Percent of adults completing some college or associate degree, 1990",20.3
5000,AR,Arkansas,"Percent of adults with a bachelor's degree or higher, 1990",13.3
5000,AR,Arkansas,"Less than high school graduate, 2000",427449
5000,AR,Arkansas,"High school graduate (or equivalency), 2000",590416
5000,AR,Arkansas,"Some college or associate degree, 2000",424907
5000,AR,Arkansas,"Bachelor's degree or higher, 2000",288428
5000,AR,Arkansas,"Percent of adults who are not high school graduates, 2000",24.7
5000,AR,Arkansas,"Percent of adults who are high school graduates (or equivalent), 2000",34.1
5000,AR,Arkansas,"Percent of adults completing some college or associate degree, 2000",24.5
5000,AR,Arkansas,"Percent of adults with a bachelor's degree or higher, 2000",16.7
5000,AR,Arkansas,"Less than high school graduate, 2008-12",320693
5000,AR,Arkansas,"High school graduate (or equivalency), 2008-12",674742
5000,AR,Arkansas,"Some college or associate degree, 2008-12",545270
5000,AR,Arkansas,"Bachelor's degree or higher, 2008-12",380334
5000,AR,Arkansas,"Percent of adults who are not high school graduates, 2008-12",16.69372668
5000,AR,Arkansas,"Percent of adults who are high school graduates (or equivalent), 2008-12",35.1238054
5000,AR,Arkansas,"Percent of adults completing some college or associate degree, 2008-12",28.38411922
