FIPS Code,State,Area name,Attribute,Value
5000,AR,Arkansas,"Less than a high school diploma, 1970",635149
5000,AR,Arkansas,"High school diploma only, 1970",271150
5000,AR,Arkansas,"Some college (1-3 years), 1970",80835
5000,AR,Arkansas,"Four years of college or higher, 1970",70378
5000,AR,Arkansas,"Percent of adults with less than a high school diploma, 1970",60.1
5000,AR,Arkansas,"Percent of adults with a high school diploma only, 1970",25.6
5000,AR,Arkansas,"Percent of adults completing some college (1-3 years), 1970",7.6
5000,AR,Arkansas,"Percent of adults completing four years of college or higher, 1970",6.7
5000,AR,Arkansas,"Less than a high school diploma, 1980",595637
5000,AR,Arkansas,"High school diploma only, 1980",443429
5000,AR,Arkansas,"Some college (1-3 years), 1980",153375
5000,AR,Arkansas,"Four years of college or higher, 1980",144677
5000,AR,Arkansas,"Percent of adults with less than a high school diploma, 1980",44.5
5000,AR,Arkansas,"Percent of adults with a high school diploma only, 1980",33.2
5000,AR,Arkansas,"Percent of adults completing some college (1-3 years), 1980",11.5
5000,AR,Arkansas,"Percent of adults completing four years of college or higher, 1980",10.8
5000,AR,Arkansas,"Less than high school graduate, 1990",503481
5000,AR,Arkansas,"High school graduate (or equivalency), 1990",489570
5000,AR,Arkansas,"Some college or associate degree, 1990",303795
5000,AR,Arkansas,"Bachelor's degree or higher, 1990",199304
5000,AR,Arkansas,"Percent of adults who are not high school graduates, 1990",33.7
5000,AR,Arkansas,"Percent of adults who are high school graduates (or equivalent), 1990",32.7
5000,AR,Arkansas,"Percent of adults completing some college or associate degree, 1990",20.3
5000,AR,Arkansas,"Percent of adults with a bachelor's degree or higher, 1990",13.3
5000,AR,Arkansas,"Less than high school graduate, 2000",427449
5000,AR,Arkansas,"High school graduate (or equivalency), 2000",590416
5000,AR,Arkansas,"Some college or associate degree, 2000",424907
5000,AR,Arkansas,"Bachelor's degree or higher, 2000",288428
5000,AR,Arkansas,"Percent of adults who are not high school graduates, 2000",24.7
5000,AR,Arkansas,"Percent of adults who are high school graduates (or equivalent), 2000",34.1
5000,AR,Arkansas,"Percent of adults completing some college or associate degree, 2000",24.5
5000,AR,Arkansas,"Percent of adults with a bachelor's degree or higher, 2000",16.7
5000,AR,Arkansas,"Less than high school graduate, 2008-12",320693
5000,AR,Arkansas,"High school graduate (or equivalency), 2008-12",674742
5000,AR,Arkansas,"Some college or associate degree, 2008-12",545270
5000,AR,Arkansas,"Bachelor's degree or higher, 2008-12",380334
5000,AR,Arkansas,"Percent of adults who are not high school graduates, 2008-12",16.69372668
5000,AR,Arkansas,"Percent of adults who are high school graduates (or equivalent), 2008-12",35.1238054
5000,AR,Arkansas,"Percent of adults completing some college or associate degree, 2008-12",28.38411922
5000,AR,Arkansas,"Percent of adults with a bachelor's degree or higher, 2008-12",19.79834871
5000,AR,Arkansas,"Less than high school graduate, 2019-23",233857
5000,AR,Arkansas,"High school graduate (or equivalency), 2019-23",702778
5000,AR,Arkansas,"Some college or associate degree, 2019-23",593923
5000,AR,Arkansas,"Bachelor's degree or higher, 2019-23",513221
5000,AR,Arkansas,"Percent of adults who are not high school graduates, 2019-23",11.44238198
5000,AR,Arkansas,"Percent of adults who are high school graduates (or equivalent), 2019-23",34.3862032
5000,AR,Arkansas,"Percent of adults completing some college or associate degree, 2019-23",29.06004025
5000,AR,Arkansas,"Percent of adults with a bachelor's degree or higher, 2019-23",25.11137457
5001,AR,Arkansas County,2013 Urban Influence Code,6
5001,AR,Arkansas County,2024 Urban Influence Code,6
5001,AR,Arkansas County,2013 Rural-urban Continuum Code,6
5001,AR,Arkansas County,2023 Rural-urban Continuum Code,6
5001,AR,Arkansas County,"Less than a high school diploma, 1970",8069
5001,AR,Arkansas County,"High school diploma only, 1970",3225
5001,AR,Arkansas County,"Some college (1-3 years), 1970",857
5001,AR,Arkansas County,"Four years of college or higher, 1970",699
5001,AR,Arkansas County,"Percent of adults with less than a high school diploma, 1970",62.8
5001,AR,Arkansas County,"Percent of adults with a high school diploma only, 1970",25.1
5001,AR,Arkansas County,"Percent of adults completing some college (1-3 years), 1970",6.7
5001,AR,Arkansas County,"Percent of adults completing four years of college or higher, 1970",5.4
5001,AR,Arkansas County,"Less than a high school diploma, 1980",7475
5001,AR,Arkansas County,"High school diploma only, 1980",4633
5001,AR,Arkansas County,"Some college (1-3 years), 1980",1319
5001,AR,Arkansas County,"Four years of college or higher, 1980",1176
5001,AR,Arkansas County,"Percent of adults with less than a high school diploma, 1980",51.2
5001,AR,Arkansas County,"Percent of adults with a high school diploma only, 1980",31.7
5001,AR,Arkansas County,"Percent of adults completing some college (1-3 years), 1980",9
5001,AR,Arkansas County,"Percent of adults completing four years of college or higher, 1980",8.1
5001,AR,Arkansas County,"Less than high school graduate, 1990",5465
5001,AR,Arkansas County,"High school graduate (or equivalency), 1990",4934
5001,AR,Arkansas County,"Some college or associate degree, 1990",2215
5001,AR,Arkansas County,"Bachelor's degree or higher, 1990",1445
5001,AR,Arkansas County,"Percent of adults who are not high school graduates, 1990",38.9
5001,AR,Arkansas County,"Percent of adults who are high school graduates (or equivalent), 1990",35.1
5001,AR,Arkansas County,"Percent of adults completing some college or associate degree, 1990",15.8
5001,AR,Arkansas County,"Percent of adults with a bachelor's degree or higher, 1990",10.3
5001,AR,Arkansas County,"Less than high school graduate, 2000",3831
5001,AR,Arkansas County,"High school graduate (or equivalency), 2000",5527
5001,AR,Arkansas County,"Some college or associate degree, 2000",2838
5001,AR,Arkansas County,"Bachelor's degree or higher, 2000",1692
5001,AR,Arkansas County,"Percent of adults who are not high school graduates, 2000",27.6
5001,AR,Arkansas County,"Percent of adults who are high school graduates (or equivalent), 2000",39.8
5001,AR,Arkansas County,"Percent of adults completing some college or associate degree, 2000",20.4
5001,AR,Arkansas County,"Percent of adults with a bachelor's degree or higher, 2000",12.2
5001,AR,Arkansas County,"Less than high school graduate, 2008-12",2311
5001,AR,Arkansas County,"High school graduate (or equivalency), 2008-12",5621
5001,AR,Arkansas County,"Some college or associate degree, 2008-12",3517
