FIPStxt,state,county,attribute,value
5001,AR,Arkansas ,Rural_Urban_Continuum_Code_2013,6
5001,AR,Arkansas ,Rural_Urban_Continuum_Code_2023,6
5001,AR,Arkansas ,Urban_Influence_2013,6
5001,AR,Arkansas ,Economic_typology_2015,3
5001,AR,Arkansas ,CENSUS_2020_POP,17149
5001,AR,Arkansas ,ESTIMATES_BASE_2020,17148
5001,AR,Arkansas ,POP_ESTIMATE_2020,17107
5001,AR,Arkansas ,POP_ESTIMATE_2021,16687
5001,AR,Arkansas ,POP_ESTIMATE_2022,16498
5001,AR,Arkansas ,POP_ESTIMATE_2023,16307
5001,AR,Arkansas ,N_POP_CHG_2020,-41
5001,AR,Arkansas ,N_POP_CHG_2021,-420
5001,AR,Arkansas ,N_POP_CHG_2022,-189
5001,AR,Arkansas ,N_POP_CHG_2023,-191
5001,AR,Arkansas ,BIRTHS_2020,52
5001,AR,Arkansas ,BIRTHS_2021,194
5001,AR,Arkansas ,BIRTHS_2022,184
5001,AR,Arkansas ,BIRTHS_2023,186
5001,AR,Arkansas ,DEATHS_2020,71
5001,AR,Arkansas ,DEATHS_2021,319
5001,AR,Arkansas ,DEATHS_2022,328
5001,AR,Arkansas ,DEATHS_2023,305
5001,AR,Arkansas ,NATURAL_CHG_2020,-19
5001,AR,Arkansas ,NATURAL_CHG_2021,-125
5001,AR,Arkansas ,NATURAL_CHG_2022,-144
5001,AR,Arkansas ,NATURAL_CHG_2023,-119
5001,AR,Arkansas ,INTERNATIONAL_MIG_2020,0
5001,AR,Arkansas ,INTERNATIONAL_MIG_2021,1
5001,AR,Arkansas ,INTERNATIONAL_MIG_2022,-1
5001,AR,Arkansas ,INTERNATIONAL_MIG_2023,-1
5001,AR,Arkansas ,DOMESTIC_MIG_2020,-22
5001,AR,Arkansas ,DOMESTIC_MIG_2021,-290
5001,AR,Arkansas ,DOMESTIC_MIG_2022,-38
5001,AR,Arkansas ,DOMESTIC_MIG_2023,-71
5001,AR,Arkansas ,NET_MIG_2020,-22
5001,AR,Arkansas ,NET_MIG_2021,-289
5001,AR,Arkansas ,NET_MIG_2022,-39
5001,AR,Arkansas ,NET_MIG_2023,-72
5001,AR,Arkansas ,RESIDUAL_2020,0
5001,AR,Arkansas ,RESIDUAL_2021,-6
5001,AR,Arkansas ,RESIDUAL_2022,-6
5001,AR,Arkansas ,RESIDUAL_2023,0
5001,AR,Arkansas ,GQ_ESTIMATES_BASE_2020,322
5001,AR,Arkansas ,GQ_ESTIMATES_2020,322
5001,AR,Arkansas ,GQ_ESTIMATES_2021,322
5001,AR,Arkansas ,GQ_ESTIMATES_2022,322
5001,AR,Arkansas ,GQ_ESTIMATES_2023,322
5001,AR,Arkansas ,R_BIRTH_2021,11.5
5001,AR,Arkansas ,R_BIRTH_2022,11.1
5001,AR,Arkansas ,R_BIRTH_2023,11.3
5001,AR,Arkansas ,R_DEATH_2021,18.9
5001,AR,Arkansas ,R_DEATH_2022,19.8
5001,AR,Arkansas ,R_DEATH_2023,18.6
5001,AR,Arkansas ,R_NATURAL_CHG_2021,-7.4
5001,AR,Arkansas ,R_NATURAL_CHG_2022,-8.7
5001,AR,Arkansas ,R_NATURAL_CHG_2023,-7.3
5001,AR,Arkansas ,R_INTERNATIONAL_MIG_2021,0.1
5001,AR,Arkansas ,R_INTERNATIONAL_MIG_2022,-0.1
5001,AR,Arkansas ,R_INTERNATIONAL_MIG_2023,-0.1
5001,AR,Arkansas ,R_DOMESTIC_MIG_2021,-17.2
5001,AR,Arkansas ,R_DOMESTIC_MIG_2022,-2.3
5001,AR,Arkansas ,R_DOMESTIC_MIG_2023,-4.3
5001,AR,Arkansas ,R_NET_MIG_2021,-17.1
5001,AR,Arkansas ,R_NET_MIG_2022,-2.4
5001,AR,Arkansas ,R_NET_MIG_2023,-4.4
5003,AR,Ashley ,Rural_Urban_Continuum_Code_2013,7
5003,AR,Ashley ,Rural_Urban_Continuum_Code_2023,7
5003,AR,Ashley ,Urban_Influence_2013,11
5003,AR,Ashley ,Economic_typology_2015,3
5003,AR,Ashley ,CENSUS_2020_POP,19062
5003,AR,Ashley ,ESTIMATES_BASE_2020,19058
5003,AR,Ashley ,POP_ESTIMATE_2020,18957
5003,AR,Ashley ,POP_ESTIMATE_2021,18654
5003,AR,Ashley ,POP_ESTIMATE_2022,18348
5003,AR,Ashley ,POP_ESTIMATE_2023,18262
5003,AR,Ashley ,N_POP_CHG_2020,-101
5003,AR,Ashley ,N_POP_CHG_2021,-303
5003,AR,Ashley ,N_POP_CHG_2022,-306
5003,AR,Ashley ,N_POP_CHG_2023,-86
5003,AR,Ashley ,BIRTHS_2020,40
5003,AR,Ashley ,BIRTHS_2021,216
5003,AR,Ashley ,BIRTHS_2022,205
5003,AR,Ashley ,BIRTHS_2023,199
5003,AR,Ashley ,DEATHS_2020,62
5003,AR,Ashley ,DEATHS_2021,328
5003,AR,Ashley ,DEATHS_2022,327
5003,AR,Ashley ,DEATHS_2023,315
5003,AR,Ashley ,NATURAL_CHG_2020,-22
5003,AR,Ashley ,NATURAL_CHG_2021,-112
5003,AR,Ashley ,NATURAL_CHG_2022,-122
5003,AR,Ashley ,NATURAL_CHG_2023,-116
5003,AR,Ashley ,INTERNATIONAL_MIG_2020,0
5003,AR,Ashley ,INTERNATIONAL_MIG_2021,-1
5003,AR,Ashley ,INTERNATIONAL_MIG_2022,-2
5003,AR,Ashley ,INTERNATIONAL_MIG_2023,-2
5003,AR,Ashley ,DOMESTIC_MIG_2020,-69
5003,AR,Ashley ,DOMESTIC_MIG_2021,-191
5003,AR,Ashley ,DOMESTIC_MIG_2022,-178
5003,AR,Ashley ,DOMESTIC_MIG_2023,36
5003,AR,Ashley ,NET_MIG_2020,-69
5003,AR,Ashley ,NET_MIG_2021,-192
5003,AR,Ashley ,NET_MIG_2022,-180
5003,AR,Ashley ,NET_MIG_2023,34
5003,AR,Ashley ,RESIDUAL_2020,-10
5003,AR,Ashley ,RESIDUAL_2021,1
5003,AR,Ashley ,RESIDUAL_2022,-4
5003,AR,Ashley ,RESIDUAL_2023,-4
5003,AR,Ashley ,GQ_ESTIMATES_BASE_2020,154
5003,AR,Ashley ,GQ_ESTIMATES_2020,154
5003,AR,Ashley ,GQ_ESTIMATES_2021,154
5003,AR,Ashley ,GQ_ESTIMATES_2022,154
5003,AR,Ashley ,GQ_ESTIMATES_2023,154
5003,AR,Ashley ,R_BIRTH_2021,11.5
5003,AR,Ashley ,R_BIRTH_2022,11.1
5003,AR,Ashley ,R_BIRTH_2023,10.9
5003,AR,Ashley ,R_DEATH_2021,17.4
5003,AR,Ashley ,R_DEATH_2022,17.7
5003,AR,Ashley ,R_DEATH_2023,17.2
5003,AR,Ashley ,R_NATURAL_CHG_2021,-6
5003,AR,Ashley ,R_NATURAL_CHG_2022,-6.6
5003,AR,Ashley ,R_NATURAL_CHG_2023,-6.3
5003,AR,Ashley ,R_INTERNATIONAL_MIG_2021,-0.1
5003,AR,Ashley ,R_INTERNATIONAL_MIG_2022,-0.1
5003,AR,Ashley ,R_INTERNATIONAL_MIG_2023,-0.1
5003,AR,Ashley ,R_DOMESTIC_MIG_2021,-10.2
5003,AR,Ashley ,R_DOMESTIC_MIG_2022,-9.6
5003,AR,Ashley ,R_DOMESTIC_MIG_2023,2
5003,AR,Ashley ,R_NET_MIG_2021,-10.2
5003,AR,Ashley ,R_NET_MIG_2022,-9.7
5003,AR,Ashley ,R_NET_MIG_2023,1.9
5005,AR,Baxter ,Rural_Urban_Continuum_Code_2013,7
5005,AR,Baxter ,Rural_Urban_Continuum_Code_2023,7
5005,AR,Baxter ,Urban_Influence_2013,8
5005,AR,Baxter ,Economic_typology_2015,0
5005,AR,Baxter ,CENSUS_2020_POP,41627
