county,2013 rural-urban continuum code,2013 urban influence code,2023 rural-urban continuum code,2024 urban influence code,"bachelor's degree or higher, 1990","bachelor's degree or higher, 2000","bachelor's degree or higher, 2008-12","bachelor's degree or higher, 2019-23","four years of college or higher, 1970","four years of college or higher, 1980","high school diploma only, 1970","high school diploma only, 1980","high school graduate (or equivalency), 1990","high school graduate (or equivalency), 2000","high school graduate (or equivalency), 2008-12","high school graduate (or equivalency), 2019-23","less than a high school diploma, 1970","less than a high school diploma, 1980","less than high school graduate, 1990","less than high school graduate, 2000","less than high school graduate, 2008-12","less than high school graduate, 2019-23","percent of adults completing four years of college or higher, 1970","percent of adults completing four years of college or higher, 1980","percent of adults completing some college (1-3 years), 1970","percent of adults completing some college (1-3 years), 1980","percent of adults completing some college or associate degree, 1990","percent of adults completing some college or associate degree, 2000","percent of adults completing some college or associate degree, 2008-12","percent of adults completing some college or associate degree, 2019-23","percent of adults who are high school graduates (or equivalent), 1990","percent of adults who are high school graduates (or equivalent), 2000","percent of adults who are high school graduates (or equivalent), 2008-12","percent of adults who are high school graduates (or equivalent), 2019-23","percent of adults who are not high school graduates, 1990","percent of adults who are not high school graduates, 2000","percent of adults who are not high school graduates, 2008-12","percent of adults who are not high school graduates, 2019-23","percent of adults with a bachelor's degree or higher, 1990","percent of adults with a bachelor's degree or higher, 2000","percent of adults with a bachelor's degree or higher, 2008-12","percent of adults with a bachelor's degree or higher, 2019-23","percent of adults with a high school diploma only, 1970","percent of adults with a high school diploma only, 1980","percent of adults with less than a high school diploma, 1970","percent of adults with less than a high school diploma, 1980","some college (1-3 years), 1970","some college (1-3 years), 1980","some college or associate degree, 1990","some college or associate degree, 2000","some college or associate degree, 2008-12","some college or associate degree, 2019-23",medhhinc_2023,pctpov017_2023,pctpovall_2023,pov017_2023,povall_2023,rural_urban_continuum_code_2023_x,civilian_labor_force_2023,employed_2023,metro_2023,rural_urban_continuum_code_2023_y,unemployed_2023,unemployment_rate_2023,births_2023,deaths_2023,domestic_mig_2023,gq_estimates_2023,international_mig_2023,n_pop_chg_2023,natural_chg_2023,net_mig_2023,pop_estimate_2023,r_birth_2023,r_death_2023,r_domestic_mig_2023,r_international_mig_2023,r_natural_chg_2023,r_net_mig_2023,residual_2023,rural_urban_continuum_code_2023
baxter,7.0,8.0,7.0,7.0,2436.0,3688.0,4873.0,6029.0,599.0,1761.0,2998.0,7554.0,8307.0,10832.0,11657.0,11142.0,5645.0,8354.0,7491.0,6482.0,4137.0,3408.0,5.7,9.0,11.7,9.7,22.0,27.2,34.25899418,36.00460242,35.6,37.5,37.08051023,34.64875455,32.1,22.5,13.15965264,10.59800355,10.4,12.8,15.50084296,18.74863949,28.6,38.6,53.9,42.7,1230.0,1896.0,5130.0,7859.0,10770.0,11578.0,48804.0,20.6,16.0,1522.0,6746.0,7.0,16806.0,16204.0,0.0,7.0,602.0,3.6,349.0,801.0,843.0,522.0,-4.0,390.0,-452.0,839.0,42875.0,8.2,18.8,19.8,-0.1,-10.6,19.7,3.0,7.0
cleburne,6.0,6.0,6.0,6.0,1295.0,2402.0,3212.0,3417.0,227.0,796.0,1240.0,3438.0,4763.0,6290.0,7237.0,7377.0,4829.0,5564.0,5394.0,4362.0,3130.0,2194.0,3.4,7.2,4.5,11.1,17.3,24.5,28.46003899,30.5565952,34.4,36.4,38.12760129,39.44287013,39.0,25.2,16.49017438,11.73073838,9.4,13.9,16.92218534,18.26979629,18.8,31.2,73.3,50.5,294.0,1224.0,2396.0,4245.0,5402.0,5715.0,56692.0,20.6,13.5,964.0,3387.0,6.0,8996.0,8642.0,0.0,6.0,354.0,3.9,223.0,427.0,399.0,259.0,-3.0,192.0,-204.0,396.0,25445.0,8.8,16.8,15.7,-0.1,-8.0,15.6,0.0,6.0
fulton,9.0,9.0,9.0,9.0,373.0,864.0,922.0,1408.0,173.0,347.0,910.0,2265.0,2532.0,3216.0,3932.0,3657.0,3521.0,3338.0,3142.0,2295.0,1519.0,1099.0,3.6,5.3,4.6,8.5,13.1,22.7,28.49769999,31.17463153,36.4,39.0,44.11533715,40.83296114,45.1,27.8,17.04252216,12.27110317,5.4,10.5,10.3444407,15.72130415,18.9,34.8,73.0,51.3,221.0,552.0,913.0,1868.0,2540.0,2792.0,46346.0,24.9,17.5,642.0,2136.0,9.0,4523.0,4349.0,0.0,9.0,174.0,3.8,117.0,235.0,184.0,162.0,-1.0,66.0,-118.0,183.0,12421.0,9.4,19.0,14.9,-0.1,-9.5,14.8,1.0,9.0
independence,7.0,8.0,7.0,7.0,2078.0,3118.0,3264.0,4279.0,620.0,1480.0,3291.0,5979.0,7116.0,9021.0,9707.0,9995.0,8823.0,9016.0,7416.0,5562.0,4517.0,3172.0,4.6,8.2,6.3,9.0,17.5,22.0,28.94811685,31.21476166,35.4,39.7,39.43850811,39.40779876,36.9,24.5,18.35209036,12.50640697,10.3,13.7,13.26128469,16.87103261,24.2,33.0,64.9,49.8,863.0,1632.0,3513.0,5004.0,7125.0,7917.0,59695.0,18.1,13.5,1633.0,5006.0,7.0,16834.0,16260.0,0.0,7.0,574.0,3.4,474.0,487.0,78.0,1183.0,2.0,66.0,-13.0,80.0,38320.0,12.4,12.7,2.0,0.1,-0.3,2.1,-1.0,7.0
izard,9.0,10.0,9.0,9.0,771.0,1112.0,1162.0,1967.0,158.0,646.0,959.0,2450.0,2920.0,3477.0,4045.0,3747.0,3470.0,3661.0,3180.0,2540.0,1994.0,1601.0,3.3,8.6,3.8,9.8,16.0,25.1,29.1519087,30.41948064,35.7,36.5,39.79732389,35.64158661,38.9,26.7,19.61826053,15.22876439,9.4,11.7,11.43250689,18.71016836,20.1,32.7,72.8,48.9,179.0,734.0,1309.0,2395.0,2963.0,3198.0,47320.0,23.9,20.3,598.0,2637.0,9.0,4476.0,4248.0,0.0,9.0,228.0,5.1,113.0,238.0,266.0,1210.0,-2.0,140.0,-125.0,264.0,14169.0,8.0,16.9,18.9,-0.1,-8.9,18.7,1.0,9.0
jackson,6.0,6.0,6.0,6.0,842.0,1258.0,1195.0,1587.0,495.0,1040.0,2273.0,3436.0,4191.0,4679.0,5517.0,5141.0,8274.0,7624.0,6117.0,4144.0,3118.0,1943.0,4.3,8.0,4.4,6.7,11.9,17.4,22.00269777,27.57266956,33.1,38.3,43.7752916,42.94186435,48.4,34.0,24.74014124,16.22953558,6.7,10.3,9.481869396,13.2559305,19.7,26.5,71.6,58.8,510.0,871.0,1501.0,2123.0,2773.0,3301.0,45762.0,32.0,24.6,1045.0,3513.0,6.0,5385.0,5110.0,0.0,6.0,275.0,5.1,157.0,252.0,217.0,2498.0,7.0,130.0,-95.0,224.0,16784.0,9.4,15.1,13.0,0.4,-5.7,13.4,1.0,6.0
marion,9.0,10.0,9.0,9.0,695.0,1210.0,1671.0,2010.0,127.0,540.0,1236.0,2774.0,3093.0,4440.0,5069.0,4706.0,2973.0,3269.0,3099.0,2783.0,2061.0,1782.0,2.7,7.2,6.2,11.8,20.5,27.3,30.6516429,34.72616944,35.7,38.3,39.94169096,36.14716952,35.8,24.0,16.23985502,13.68768723,8.0,10.4,13.16681113,15.43897381,26.7,37.2,64.3,43.8,289.0,877.0,1776.0,3160.0,3890.0,4521.0,49975.0,26.0,17.4,837.0,3009.0,9.0,6050.0,5801.0,0.0,9.0,249.0,4.1,137.0,301.0,392.0,159.0,-2.0,225.0,-164.0,390.0,17514.0,7.9,17.3,22.5,-0.1,-9.4,22.4,-1.0,9.0
searcy,9.0,10.0,9.0,9.0,399.0,486.0,653.0,786.0,138.0,397.0,745.0,1534.0,1622.0,2353.0,2284.0,2095.0,3500.0,3271.0,2537.0,1852.0,1518.0,1146.0,3.0,7.1,4.7,7.1,14.8,19.0,24.74662162,29.86764194,30.3,40.6,38.58108108,36.48554511,47.4,32.0,25.64189189,19.95820272,7.5,8.4,11.03040541,13.68861024,16.2,27.4,76.1,58.4,216.0,396.0,794.0,1101.0,1465.0,1715.0,40688.0,28.1,20.2,440.0,1560.0,9.0,2875.0,2750.0,0.0,9.0,125.0,4.3,74.0,154.0,-21.0,59.0,1.0,-100.0,-80.0,-20.0,7806.0,9.4,19.6,-2.7,0.1,-10.2,-2.5,0.0,9.0
sharp,7.0,9.0,9.0,9.0,876.0,1261.0,1394.0,1521.0,282.0,798.0,1147.0,3485.0,3789.0,4713.0,5728.0,5172.0,3573.0,4495.0,3572.0,3328.0,1942.0,1867.0,5.3,8.2,5.9,9.6,18.1,24.3,27.19093903,32.86801035,37.7,38.3,46.01172785,40.56152459,35.5,27.1,15.59964656,14.64198886,8.7,10.3,11.19768656,11.9284762,21.6,35.9,67.2,46.3,315.0,935.0,1823.0,2992.0,3385.0,4191.0,45258.0,25.4,19.7,905.0,3495.0,9.0,5940.0,5706.0,0.0,9.0,234.0,3.9,180.0,302.0,254.0,179.0,0.0,132.0,-122.0,254.0,17968.0,10.1,16.9,14.2,0.0,-6.8,14.2,0.0,9.0
stone,9.0,9.0,9.0,9.0,632.0,792.0,1166.0,1406.0,90.0,398.0,611.0,1655.0,2246.0,3124.0,3487.0,3413.0,3204.0,3300.0,2728.0,2595.0,1750.0,1279.0,2.2,7.0,3.8,5.8,17.1,19.8,28.42611223,33.28227571,33.2,38.5,38.97831433,37.34135667,40.4,32.0,19.56181534,13.99343545,9.4,9.8,13.0337581,15.38293217,15.0,29.1,78.9,58.1,156.0,330.0,1153.0,1608.0,2543.0,3042.0,43767.0,26.3,17.7,644.0,2220.0,9.0,4542.0,4355.0,0.0,9.0,187.0,4.1,126.0,220.0,188.0,136.0,-6.0,86.0,-94.0,182.0,12671.0,10.0,17.4,14.9,-0.5,-7.4,14.4,-2.0,9.0
