county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population
baxter,0.04372860522448979,0.0808134216909621,16.0,3.6,42875.0
cleburne,0.07180112513263902,0.15501226225191592,13.5,3.9,25445.0
fulton,0.12657035786168586,0.32874133435311165,17.5,3.8,12421.0
independence,0.04402670305323591,0.10283872327766178,13.5,3.4,38320.0
izard,0.1320500272425718,0.2515462390429811,20.3,5.1,14169.0
jackson,0.07897956684938036,0.2558500020853194,24.6,5.1,16784.0
marion,0.08815218573712459,0.20639014228617103,17.4,4.1,17514.0
searcy,0.17536011068408913,0.4674038574173712,20.2,4.3,7806.0
sharp,0.06638733414959928,0.22574312438780053,19.7,3.9,17968.0
stone,0.12140266885013022,0.29469936603267305,17.7,4.1,12671.0
van buren,0.09776123844628917,0.27322077462520133,16.5,4.0,16142.0
white,0.025242149505430075,0.05176254085300566,15.7,3.5,78452.0
woodruff,0.26644618913480883,0.7739627399396378,24.4,3.6,5964.0
