county,births_2022,deaths_2022,domestic_mig_2022,gq_estimates_2022,international_mig_2022,n_pop_chg_2022,natural_chg_2022,net_mig_2022,pop_estimate_2022,r_birth_2022,r_death_2022,r_domestic_mig_2022,r_international_mig_2022,r_natural_chg_2022,r_net_mig_2022,residual_2022,civilian_labor_force_2022,employed_2022,med_hh_income_percent_of_state_total_2022,median_household_income_2022,unemployed_2022,unemployment_rate_2022,state
abbeville county,221.0,423.0,262.0,839.0,11.0,76.0,-202.0,273.0,24338.0,9.1,17.4,10.8,0.5,-8.3,11.2,5.0,,,,,,,
"abbeville county, sc",,,,,,,,,,,,,,,,,9475.0,9111.0,78.4,50325.0,364.0,3.8,
acadia parish,834.0,887.0,-427.0,697.0,-7.0,-492.0,-53.0,-434.0,56725.0,14.6,15.6,-7.5,-0.1,-0.9,-7.6,-5.0,,,,,,,
"acadia parish, la",,,,,,,,,,,,,,,,,23726.0,22861.0,77.5,42981.0,865.0,3.6,
accomack county,358.0,558.0,-82.0,384.0,119.0,-187.0,-200.0,37.0,33223.0,10.7,16.7,-2.5,3.6,-6.0,1.1,-24.0,,,,,,,
"accomack county, va",,,,,,,,,,,,,,,,,15584.0,15086.0,65.7,56357.0,498.0,3.2,
ada county,5039.0,4331.0,4890.0,13668.0,391.0,5979.0,708.0,5281.0,519004.0,9.8,8.4,9.5,0.8,1.4,10.2,-10.0,,,,,,,
"ada county, id",,,,,,,,,,,,,,,,,280810.0,274032.0,120.8,87748.0,6778.0,2.4,
adair county,84.0,134.0,-18.0,158.0,6.0,-67.0,-50.0,-12.0,7457.0,11.2,17.9,-2.4,0.8,-6.7,-1.6,-5.0,,,,,,,
"adair county, ia",,,,,,,,,,,,,,,,,4317.0,4223.0,96.1,66997.0,94.0,2.2,
"adair county, ky",,,,,,,,,,,,,,,,,7139.0,6802.0,74.5,44153.0,337.0,4.7,
"adair county, mo",,,,,,,,,,,,,,,,,9771.0,9468.0,71.7,46433.0,303.0,3.1,
"adair county, ok",,,,,,,,,,,,,,,,,8674.0,8380.0,80.2,47799.0,294.0,3.4,
adams county,6838.0,4209.0,348.0,4499.0,1130.0,3965.0,2629.0,1478.0,527509.0,13.0,8.0,0.7,2.2,5.0,2.8,-142.0,,,,,,,
"adams county, co",,,,,,,,,,,,,,,,,281314.0,271745.0,100.8,89849.0,9569.0,3.4,
"adams county, ia",,,,,,,,,,,,,,,,,2101.0,2058.0,84.6,58973.0,43.0,2.0,
"adams county, id",,,,,,,,,,,,,,,,,1882.0,1778.0,77.6,56374.0,104.0,5.5,
"adams county, il",,,,,,,,,,,,,,,,,30667.0,29599.0,80.5,61747.0,1068.0,3.5,
"adams county, in",,,,,,,,,,,,,,,,,17014.0,16632.0,90.8,60620.0,382.0,2.2,
"adams county, ms",,,,,,,,,,,,,,,,,10452.0,9923.0,74.9,39547.0,529.0,5.1,
"adams county, nd",,,,,,,,,,,,,,,,,950.0,931.0,78.6,57593.0,19.0,2.0,
"adams county, ne",,,,,,,,,,,,,,,,,17196.0,16843.0,92.0,64212.0,353.0,2.1,
"adams county, oh",,,,,,,,,,,,,,,,,10964.0,10376.0,74.6,49068.0,588.0,5.4,
"adams county, pa",,,,,,,,,,,,,,,,,54709.0,53012.0,106.6,76554.0,1697.0,3.1,
"adams county, wa",,,,,,,,,,,,,,,,,9816.0,9335.0,68.4,62410.0,481.0,4.9,
"adams county, wi",,,,,,,,,,,,,,,,,7736.0,7362.0,77.0,54682.0,374.0,4.8,
addison county,309.0,385.0,164.0,3021.0,83.0,147.0,-76.0,247.0,37555.0,8.2,10.3,4.4,2.2,-2.0,6.6,-24.0,,,,,,,
"addison county, vt",,,,,,,,,,,,,,,,,20956.0,20507.0,106.7,79526.0,449.0,2.1,
adjuntas municipio,,,,,,,,,17897.0,,,,,,,,,,,,,,
"adjuntas municipio, pr",,,,,,,,,,,,,,,,,4420.0,4060.0,,,360.0,8.1,
aguada municipio,,,,,,,,,37639.0,,,,,,,,,,,,,,
"aguada municipio, pr",,,,,,,,,,,,,,,,,13418.0,12458.0,,,960.0,7.2,
aguadilla municipio,,,,,,,,,53883.0,,,,,,,,,,,,,,
"aguadilla municipio, pr",,,,,,,,,,,,,,,,,16255.0,14994.0,,,1261.0,7.8,
aguas buenas municipio,,,,,,,,,23521.0,,,,,,,,,,,,,,
"aguas buenas municipio, pr",,,,,,,,,,,,,,,,,7101.0,6641.0,,,460.0,6.5,
aibonito municipio,,,,,,,,,24534.0,,,,,,,,,,,,,,
"aibonito municipio, pr",,,,,,,,,,,,,,,,,6859.0,6381.0,,,478.0,7.0,
aiken county,2166.0,2172.0,2775.0,2701.0,157.0,2981.0,-6.0,2932.0,174228.0,12.5,12.6,16.1,0.9,0.0,17.0,55.0,,,,,,,
"aiken county, sc",,,,,,,,,,,,,,,,,73747.0,71447.0,105.5,67728.0,2300.0,3.1,
aitkin county,100.0,257.0,301.0,324.0,9.0,185.0,-157.0,310.0,16142.0,6.2,16.0,18.8,0.6,-9.8,19.3,32.0,,,,,,,
"aitkin county, mn",,,,,,,,,,,,,,,,,7423.0,7103.0,71.7,59064.0,320.0,4.3,
alachua county,2649.0,2456.0,1058.0,19402.0,1075.0,2152.0,193.0,2133.0,284041.0,9.4,8.7,3.7,3.8,0.7,7.5,-174.0,,,,,,,
"alachua county, fl",,,,,,,,,,,,,,,,,140531.0,136444.0,84.8,58783.0,4087.0,2.9,
alamance county,1952.0,2082.0,2443.0,5874.0,286.0,2650.0,-130.0,2729.0,176618.0,11.1,11.9,13.9,1.6,-0.7,15.6,51.0,,,,,,,
"alamance county, nc",,,,,,,,,,,,,,,,,83565.0,80446.0,90.4,61034.0,3119.0,3.7,
alameda county,16847.0,11100.0,-33468.0,50948.0,11409.0,-15788.0,5747.0,-22059.0,1628259.0,10.3,6.8,-20.5,7.0,3.5,-13.5,524.0,,,,,,,
"alameda county, ca",,,,,,,,,,,,,,,,,819817.0,792342.0,132.4,121190.0,27475.0,3.4,
alamosa county,189.0,193.0,-5.0,963.0,25.0,8.0,-4.0,20.0,16587.0,11.4,11.6,-0.3,1.5,-0.2,1.2,-8.0,,,,,,,
"alamosa county, co",,,,,,,,,,,,,,,,,8101.0,7801.0,60.5,53942.0,300.0,3.7,
albany county,2862.0,3112.0,-1026.0,19098.0,1182.0,-257.0,-250.0,156.0,315921.0,9.1,9.8,-3.2,3.7,-0.8,0.5,-163.0,,,,,,,
"albany county, ny",,,,,,,,,,,,,,,,,158683.0,153760.0,96.9,76997.0,4923.0,3.1,
"albany county, wy",,,,,,,,,,,,,,,,,21324.0,20687.0,75.1,53537.0,637.0,3.0,
albemarle county,1044.0,984.0,413.0,7502.0,562.0,963.0,60.0,975.0,114845.0,9.1,8.6,3.6,4.9,0.5,8.5,-72.0,,,,,,,
"albemarle county, va",,,,,,,,,,,,,,,,,58034.0,56548.0,110.4,94727.0,1486.0,2.6,
alcona county,70.0,229.0,236.0,80.0,9.0,102.0,-159.0,245.0,10397.0,6.8,22.1,22.8,0.9,-15.4,23.7,16.0,,,,,,,
"alcona county, mi",,,,,,,,,,,,,,,,,3867.0,3606.0,80.4,53788.0,261.0,6.7,
alcorn county,383.0,538.0,-94.0,670.0,9.0,-251.0,-155.0,-85.0,34147.0,11.2,15.7,-2.7,0.3,-4.5,-2.5,-11.0,,,,,,,
"alcorn county, ms",,,,,,,,,,,,,,,,,14959.0,14430.0,94.0,49627.0,529.0,3.5,
aleutians east borough,9.0,11.0,-82.0,2216.0,97.0,13.0,-2.0,15.0,3430.0,2.6,3.2,-24.0,28.3,-0.6,4.4,0.0,,,,,,,
"aleutians east borough, ak",,,,,,,,,,,,,,,,,2400.0,2351.0,97.5,85852.0,49.0,2.0,
aleutians west census area,25.0,19.0,-226.0,2933.0,155.0,-57.0,6.0,-71.0,5090.0,4.9,3.7,-44.2,30.3,1.2,-13.9,8.0,,,,,,,
"aleutians west census area, ak",,,,,,,,,,,,,,,,,3433.0,3322.0,127.4,112218.0,111.0,3.2,
alexander county,36.0,104.0,-118.0,82.0,0.0,-184.0,-68.0,-118.0,4841.0,7.3,21.1,-23.9,0.0,-13.8,-23.9,2.0,,,,,,,
"alexander county, il",,,,,,,,,,,,,,,,,1798.0,1679.0,53.9,41378.0,119.0,6.6,
"alexander county, nc",,,,,,,,,,,,,,,,,17930.0,17347.0,100.3,67717.0,583.0,3.3,
alexandria city,2249.0,959.0,-3113.0,1383.0,1841.0,-60.0,1290.0,-1272.0,155045.0,14.5,6.2,-20.1,11.9,8.3,-8.2,-78.0,,,,,,,
"alexandria city, va",,,,,,,,,,,,,,,,,100719.0,98425.0,128.3,110115.0,2294.0,2.3,
alfalfa county,41.0,53.0,-5.0,1162.0,14.0,-6.0,-12.0,9.0,5689.0,7.2,9.3,-0.9,2.5,-2.1,1.6,-3.0,,,,,,,
"alfalfa county, ok",,,,,,,,,,,,,,,,,2717.0,2662.0,97.3,58045.0,55.0,2.0,
alger county,74.0,116.0,38.0,917.0,0.0,-1.0,-42.0,38.0,8773.0,8.4,13.2,4.3,0.0,-4.8,4.3,3.0,,,,,,,
"alger county, mi",,,,,,,,,,,,,,,,,3228.0,2994.0,88.7,59390.0,234.0,7.2,
allamakee county,189.0,162.0,-31.0,229.0,59.0,50.0,27.0,28.0,14018.0,13.5,11.6,-2.2,4.2,1.9,2.0,-5.0,,,,,,,
"allamakee county, ia",,,,,,,,,,,,,,,,,7092.0,6818.0,87.1,60743.0,274.0,3.9,
allegan county,1242.0,1303.0,224.0,935.0,134.0,222.0,-61.0,358.0,121290.0,10.2,10.8,1.8,1.1,-0.5,3.0,-75.0,,,,,,,
"allegan county, mi",,,,,,,,,,,,,,,,,62102.0,59858.0,113.4,75893.0,2244.0,3.6,
allegany county,579.0,1062.0,91.0,6172.0,19.0,-421.0,-483.0,110.0,67266.0,8.6,15.7,1.3,0.3,-7.2,1.6,-48.0,,,,,,,
"allegany county, md",,,,,,,,,,,,,,,,,31030.0,29877.0,53.3,50582.0,1153.0,3.7,
"allegany county, ny",,,,,,,,,,,,,,,,,19028.0,18242.0,69.8,55466.0,786.0,4.1,
alleghany county,105.0,174.0,174.0,246.0,1.0,114.0,-69.0,175.0,11193.0,9.4,15.6,15.6,0.1,-6.2,15.7,8.0,,,,,,,
"alleghany county, nc",,,,,,,,,,,,,,,,,4462.0,4284.0,73.4,49524.0,178.0,4.0,
"alleghany county, va",,,,,,,,,,,,,,,,,6596.0,6385.0,61.1,52412.0,211.0,3.2,
allegheny county,12401.0,15214.0,-12288.0,39065.0,2669.0,-12615.0,-2813.0,-9619.0,1232605.0,10.0,12.3,-9.9,2.2,-2.3,-7.8,-183.0,,,,,,,
"allegheny county, pa",,,,,,,,,,,,,,,,,628783.0,604049.0,100.3,71973.0,24734.0,3.9,
allen county,5316.0,3990.0,478.0,6291.0,881.0,2481.0,1326.0,1359.0,391644.0,13.6,10.2,1.2,2.3,3.4,3.5,-204.0,,,,,,,
"allen county, in",,,,,,,,,,,,,,,,,188044.0,182543.0,98.8,65967.0,5501.0,2.9,
"allen county, ks",,,,,,,,,,,,,,,,,6306.0,6127.0,74.1,50995.0,179.0,2.8,
