County,BachelorsDegreePct,PovertyRate,UnemploymentRate,Population
Arkansas,0.2,15.4,2.7,16307
Ashley,0.1,18.4,5.6,18262
Baxter,0.0,16.0,3.6,42875
Benton,0.0,7.8,2.4,311013
Boone,0.0,14.9,3.1,38530
Bradley,0.2,23.2,4.6,10104
Calhoun,0.4,14.3,2.9,4641
Carroll,0.1,14.8,2.9,28814
Chicot,0.2,29.7,5.8,9538
Clark,0.1,18.9,4.7,21274
Clay,0.1,17.5,4.1,14201
Cleburne,0.1,13.5,3.9,25445
Cleveland,0.2,15.7,3.5,7378
Columbia,0.1,23.3,4.3,22150
Conway,0.1,17.1,3.8,21077
Craighead,0.0,16.1,2.7,113993
Crawford,0.0,13.3,3.4,61891
Crittenden,0.0,20.6,4.2,47139
Cross,0.1,19.1,3.4,16420
Dallas,0.2,19.6,3.9,6185
Desha,0.1,25.0,4.6,10479
Drew,0.1,20.6,4.2,16945
Faulkner,0.0,12.9,2.9,129951
Franklin,0.1,19.0,3.2,17468
Fulton,0.1,17.5,3.8,12421
Garland,0.0,18.9,3.7,99784
Grant,0.1,11.1,2.9,18383
Greene,0.0,16.2,3.3,46743
Hempstead,0.1,16.6,3.4,19343
Hot Spring,0.0,16.9,3.5,33258
Howard,0.1,17.8,3.5,12533
Independence,0.0,13.5,3.4,38320
Izard,0.1,20.3,5.1,14169
Jackson,0.1,24.6,5.1,16784
Jefferson,0.0,24.3,4.6,63661
Johnson,0.1,17.1,4.4,26129
Lafayette,0.2,22.8,4.9,6095
Lawrence,0.1,18.3,3.4,16318
Lee,0.1,38.7,5.2,8201
Lincoln,0.1,26.2,4.0,12898
Little River,0.1,17.7,3.5,11805
Logan,0.1,16.6,4.0,21400
Lonoke,0.0,9.6,2.7,75944
Madison,0.1,14.8,2.6,17775
Marion,0.1,17.4,4.1,17514
Miller,0.0,21.5,3.6,42415
Mississippi,0.0,24.9,4.9,38663
Monroe,0.2,26.3,3.9,6512
Montgomery,0.2,18.8,4.9,8620
Nevada,0.1,23.2,3.7,8120
Newton,0.2,18.8,3.4,7071
Ouachita,0.1,18.8,3.9,21793
Perry,0.2,14.1,3.6,10184
Phillips,0.1,34.2,6.5,14961
Pike,0.2,18.2,3.5,10208
Poinsett,0.1,19.1,3.3,22397
Polk,0.1,18.8,3.6,19436
Pope,0.0,13.5,3.9,64593
Prairie,0.2,15.4,3.1,8036
Pulaski,0.0,15.7,3.2,400009
Randolph,0.1,18.5,3.5,18907
Saline,0.0,9.3,2.7,129574
Scott,0.1,19.5,3.0,9851
Searcy,0.2,20.2,4.3,7806
Sebastian,0.0,12.8,3.4,129098
Sevier,0.1,18.7,3.8,15632
Sharp,0.1,19.7,3.9,17968
St. Francis,0.1,34.3,5.0,22101
Stone,0.1,17.7,4.1,12671
Union,0.1,19.0,4.6,37397
Van Buren,0.1,16.5,4.0,16142
Washington,0.0,13.5,2.3,261549
White,0.0,15.7,3.5,78452
Woodruff,0.3,24.4,3.6,5964
Yell,0.1,16.5,3.7,20044
